"prey","Base","Vec","Rab5GDP","Rab5GTP","Enr_GDP","Enr_GTP","sEnr_GDP","sEnr_GTP","p_GDP_Vec","p_GTP_Vec","p_GTP_GDP","p_GDP_GTP","p_GDP","p_GTP","Base_diUb","Vec_diUb","diUb1","Enr_diUb","sEnr_diUb","p_Bind_diUb","Base_diUb4","Vec_diUb4","di4spUb","Enr_diUb4","sEnr_diUb4","p_Bind_diUb4"
"1700066B19Rik",6.2,0.5,0,0,-3.4,-3.4,-2.14,-3.72,0.017,0,0.158,0.842,0.015,0,7.7,0.5,0,-3.4,-6.18,0.013,7.8,0.5,0,-3.4,-6.71,0.008
"1700066M21Rik",96.6,29.7,2.5,0,-3.54,-9.22,-2.02,-3.89,0.025,0,0.115,0.885,0.022,0,95.3,29.7,0.1,-7.63,-6.14,0.005,90.9,29.7,0.1,-8.18,-6.89,0.003
"1700067P10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0.1,1.04,-3.22,0.144
"1700074P13Rik",697.1,18,0.6,0.4,-4.73,-5.41,-2.12,-3.73,0.019,0,0.157,0.843,0.016,0,732.2,18,0.1,-7.5,-6.24,0.004,745.5,18,0.2,-6.44,-6.24,0.002
"1700080O16Rik",197.5,0.1,0.3,0.4,1.2,1.29,-1.89,-3.22,0.026,0.001,0.186,0.814,0.022,0,192.3,0.1,0.1,-0.21,-3.68,0.057,190.4,0.1,0.1,-0.76,-4.69,0.026
"1700084C01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,0.1,1.04,-3.47,0.112
"1700088E04Rik",22.8,0.2,0.1,0,-1.22,-2.48,-1.93,-3.76,0.027,0,0.119,0.881,0.024,0,22.6,0.2,0.1,-0.89,-3.51,0.057,19.8,0.2,0,-2.48,-6.74,0.006
"1700092M07Rik",3,4.3,0,0,-6.44,-6.44,-2.2,-3.83,0.018,0,0.154,0.846,0.015,0,2.9,4.3,0,-6.44,-6.7,0.007,3.5,4.3,0,-6.44,-7.16,0.005
"1700093K21Rik",572.8,0.5,0.7,1.2,0.58,1.32,-1.99,-3.15,0.023,0.001,0.218,0.782,0.018,0,579.3,0.5,0.2,-1,-3.93,0.038,610.5,0.5,0.1,-2.28,-5.43,0.009
"1700094D03Rik",58,0.1,0,0,-1.23,-1.23,-2.1,-3.72,0.023,0,0.148,0.852,0.02,0,53.5,0.1,0,-1.23,-6.05,0.012,55.3,0.1,0,-1.23,-6.55,0.008
"1700102P08Rik",29.6,0.1,0,0,-1.23,-1.23,-2.11,-3.68,0.02,0,0.157,0.843,0.017,0,29.8,0.1,0,-1.23,-5.96,0.017,34.3,0.1,0,-1.23,-6.54,0.011
"1700109H08Rik",94.2,0,0,0.1,0,1.32,-2.12,-3.27,0.019,0.001,0.235,0.765,0.015,0,85.4,0,0.1,1,-3.72,0.08,0,0,0,0,0,0
"1700113H08Rik",215.7,0.1,0.6,0.2,1.96,0.66,-1.74,-3.42,0.039,0,0.111,0.889,0.035,0,212.4,0.1,0,-1.8,-6.21,0.015,231.6,0.1,0.1,-0.76,-4.88,0.02
"1700123O20Rik",356,10,0.1,0.9,-6.39,-3.4,-2.21,-3.49,0.018,0,0.212,0.788,0.014,0,366.6,10,0.2,-5.65,-5.34,0.007,369.3,10,0.1,-6.61,-6.44,0.002
"1700125H20Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.4,0,0.1,1,-3.46,0.096,0,0,0,0,0,0
"1700129C05Rik",296.5,0.2,0.3,0.5,0.45,1.05,-2.01,-3.26,0.017,0.001,0.197,0.803,0.014,0,333.1,0.2,0.1,-1.27,-4.64,0.023,313.4,0.2,0.2,0.11,-3.59,0.065
"1810011H11Rik",10.3,0,0.1,0,1.26,0,-1.64,-3.71,0.061,0,0.088,0.912,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810011O10Rik",32.5,0,0.1,0,1.26,0,-1.71,-3.72,0.052,0,0.098,0.902,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810013L24Rik",168.2,223.7,0.2,0.1,-9.75,-10.8,-2.25,-3.85,0.019,0,0.157,0.843,0.016,0,185.8,223.7,0.1,-10.54,-6.73,0.005,182.5,223.7,0,-12.13,-7.84,0.005
"1810022K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.4,0,0.1,1,-3.6,0.089,0,0,0,0,0,0
"1810024B03Rik",5.7,0,0.1,0,1.26,0,-1.66,-3.72,0.059,0,0.093,0.907,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810026J23Rik",127.6,2.7,0.1,0.2,-3.87,-3.79,-2.15,-3.65,0.016,0,0.158,0.842,0.013,0,153.4,2.7,0.1,-4.79,-5.52,0.009,155.2,2.7,0,-5.79,-7.17,0.005
"1810030O07Rik",49.9,0.1,0,0,-1.8,-1.8,-2.15,-3.75,0.021,0,0.155,0.845,0.017,0,43.7,0.1,0,-1.8,-6.19,0.011,53.7,0.1,0.1,-0.76,-4.57,0.03
"1810043G02Rik",6.4,4.4,0,0,-6.47,-6.47,-2.2,-3.84,0.017,0,0.146,0.854,0.015,0,7.1,4.4,0,-6.47,-6.71,0.007,5,4.4,0,-6.47,-7.1,0.005
"1810065E05Rik",3.2,0.1,0,0,-1.23,-1.23,-2.05,-3.68,0.029,0,0.148,0.852,0.025,0,4.3,0.1,0,-1.23,-5.86,0.014,4.6,0.1,0,-1.23,-6.55,0.01
"2010012O05Rik",19.4,0.1,0,0.1,-1.1,0.22,-2.15,-3.3,0.026,0.001,0.23,0.77,0.02,0,19.7,0.1,0,-1.1,-5.92,0.016,18.6,0.1,0,-1.1,-6.53,0.01
"2010107E04Rik",21.8,0.1,0,0,-1.88,-1.88,-2.1,-3.72,0.025,0,0.156,0.844,0.021,0,23.2,0.1,0,-1.88,-6.07,0.014,24.9,0.1,0,-1.88,-6.65,0.009
"2010111I01Rik",166.5,68.3,0.7,0.2,-6.51,-8.41,-2.2,-3.86,0.016,0,0.144,0.856,0.014,0,180.5,68.3,0.1,-8.83,-6.4,0.004,158.4,68.3,0.2,-8.36,-6.68,0.002
"2210018M11Rik",65.9,0.6,0.1,0.4,-1.79,-0.62,-2.09,-3.29,0.021,0,0.216,0.784,0.016,0,69.2,0.6,0,-3.71,-6.26,0.011,65.5,0.6,0.1,-2.67,-5.19,0.01
"2210404O09Rik",2.5,0.1,0,0,-1.23,-1.23,-2.06,-3.67,0.024,0,0.147,0.853,0.021,0,3,0.1,0,-1.23,-5.94,0.016,2.9,0.1,0,-1.23,-6.62,0.01
"2210407C18Rik",4.5,0.1,0,0,-1.8,-1.8,-2.1,-3.7,0.022,0,0.152,0.848,0.019,0,4.8,0.1,0,-1.8,-6.1,0.017,7,0.1,0,-1.8,-6.7,0.007
"2210408I21Rik",100.9,0.4,0.1,0,-1.28,-3.2,-1.91,-3.79,0.03,0,0.109,0.891,0.027,0,99.3,0.4,0,-3.2,-6.28,0.012,93.4,0.4,0,-3.2,-6.84,0.005
"2310011J03Rik",2.8,0,0.1,0,1.26,0,-1.6,-3.68,0.072,0,0.091,0.909,0.065,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310030G06Rik",60.3,0.2,0.1,0.2,-0.22,0.32,-1.99,-3.27,0.024,0.001,0.195,0.805,0.019,0,53.5,0.2,0.1,-1.15,-4.24,0.037,58.8,0.2,0,-2.15,-6.67,0.007
"2310033P09Rik",5.1,3.7,0,0,-6.24,-6.24,-2.21,-3.85,0.019,0,0.157,0.843,0.016,0,2.8,3.7,0,-6.24,-6.51,0.01,4.3,3.7,61.2,4.02,1.62,0.729
"2310035C23Rik",112.6,18.2,2.2,0.3,-3.04,-5.7,-1.98,-3.73,0.022,0,0.126,0.874,0.019,0,100.1,18.2,0.1,-7.51,-6.14,0.005,109.6,18.2,0,-8.51,-7.47,0.004
"2310036O22Rik",2.9,18,0,0,-8.5,-8.5,-2.2,-3.88,0.022,0,0.168,0.832,0.019,0,3.8,18,0,-8.5,-6.93,0.007,2.3,18,0,-8.5,-7.39,0.004
"2310057M21Rik",16.4,50.8,0,0,-9.99,-9.99,-2.22,-3.87,0.016,0,0.158,0.842,0.014,0,20.3,50.8,0.1,-8.99,-6.47,0.007,20.2,50.8,0,-9.99,-7.57,0.004
"2410015M20Rik",19.2,0,0.1,0,1.26,0,-1.7,-3.72,0.049,0,0.09,0.91,0.045,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410127L17Rik",93.5,3.5,0.3,0,-3.41,-6.13,-2.02,-3.83,0.02,0,0.108,0.892,0.018,0,96.8,3.5,0.1,-5.13,-5.5,0.009,100.8,3.5,0,-6.13,-7.15,0.005
