"prey","Base","Vec","Rab5GDP","Rab5GTP","Enr_GDP","Enr_GTP","sEnr_GDP","sEnr_GTP","p_GDP_Vec","p_GTP_Vec","p_GTP_GDP","p_GDP_GTP","p_GDP","p_GTP","Base_diUb","Vec_diUb","diUb1","Enr_diUb","sEnr_diUb","p_Bind_diUb","Base_diUb4","Vec_diUb4","di4spUb","Enr_diUb4","sEnr_diUb4","p_Bind_diUb4"
"Itih5",171.3,18.4,0.2,7.2,-6.15,-1.34,-2.21,-3.16,0.018,0.001,0.283,0.717,0.013,0,174.5,18.4,0,-8.53,-6.98,0.007,181.5,18.4,1.6,-3.5,-4.46,0.018
"Itk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.1,1,-3.25,0.115,0,0,0,0,0,0
"Itln1",3.6,0,0.1,0,1.26,0,-1.68,-3.72,0.058,0,0.095,0.905,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itm2a",59.3,0.4,0.1,0.2,-1.91,-0.71,-2.08,-3.3,0.02,0.001,0.201,0.799,0.016,0,68.4,0.4,0,-3.17,-6.29,0.01,74.1,0.4,0,-3.17,-6.92,0.004
"Itm2b",583.2,0.1,1.3,1.8,2.91,3.41,-1.92,-3.04,0.029,0.002,0.22,0.78,0.023,0,607.2,0.1,0.3,0.79,-3.34,0.077,606.1,0.1,0.6,1.97,-2.74,0.14
"Itm2c",4.2,0,0.1,0,1.26,0,-1.55,-3.73,0.072,0,0.083,0.917,0.066,0,0,0,0,0,0,0,0,0,0,0,0,0
"Itpa",33.7,0.1,0,0,-1.1,-1.1,-2.09,-3.71,0.025,0,0.157,0.843,0.021,0,32,0.1,0,-1.1,-5.96,0.017,33.1,0.1,0,-1.1,-6.54,0.009
"Itpr1",321.3,17.6,22.1,0.6,0.33,-4.76,-1.55,-3.78,0.06,0,0.058,0.942,0.056,0,325.2,17.6,0.2,-6.46,-5.66,0.006,325.1,17.6,0.2,-6.4,-6.06,0.003
"Itpr2",119.5,0.1,0,0,-1.8,-1.8,-2.13,-3.74,0.021,0,0.164,0.836,0.017,0,107.2,0.1,0.1,-0.8,-4.29,0.029,105,0.1,0,-1.8,-6.76,0.008
"Itprip",5.4,0,0.1,0,1.26,0,-1.65,-3.7,0.054,0,0.088,0.912,0.049,0,5.8,0,0.1,1,-3.01,0.15,0,0,0,0,0,0
"Itpripl1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,0,0.1,1.59,-2.46,0.197,0,0,0,0,0,0
"Itsn1",64,0.1,0.2,0.2,0.49,0.12,-1.87,-3.39,0.028,0,0.142,0.858,0.024,0,64.9,0.1,0,-1.88,-6.16,0.011,67.8,0.1,0,-1.88,-6.66,0.008
"Itsn2",98.9,8.9,0.2,0.1,-5.1,-6.15,-2.15,-3.78,0.021,0,0.157,0.843,0.017,0,94.2,8.9,0,-7.48,-6.81,0.009,106.9,8.9,0,-7.48,-7.39,0.004
"Ivns1abp",232.6,0.1,0.3,0,1.49,-1.23,-1.67,-3.79,0.048,0,0.079,0.921,0.044,0,240.5,0.1,0,-1.23,-6.05,0.015,246.4,0.1,0,-1.23,-6.76,0.008
"Iws1",107.1,9.7,0.2,0,-5.22,-7.6,-2.17,-3.86,0.018,0,0.134,0.866,0.016,0,98.4,9.7,0,-7.6,-6.87,0.008,101,9.7,0,-7.6,-7.36,0.005
"Iyd",69.2,0.1,0.1,0.1,0.03,0.09,-1.96,-3.46,0.021,0,0.164,0.836,0.018,0,70.3,0.1,0,-1.23,-6,0.016,68.5,0.1,0,-1.23,-6.59,0.007
"Izumo1",60.1,0,0.1,0,1.92,0,-1.62,-3.77,0.068,0,0.087,0.913,0.062,0,0,0,0,0,0,0,0,0,0,0,0,0
"Izumo3",200.5,0.3,0,0,-2.87,-2.87,-2.17,-3.79,0.024,0,0.159,0.841,0.02,0,191.1,0.3,0.1,-1.87,-4.63,0.024,199.4,0.3,0.1,-1.83,-5.07,0.016
"Jade1",200,80.2,0.2,0.5,-8.27,-7.32,-2.21,-3.82,0.02,0,0.157,0.843,0.017,0,195.9,80.2,0,-10.65,-7.12,0.008,200.5,80.2,0.1,-9.61,-7.02,0.003
"Jade3",47.9,2.9,0,0,-5.86,-5.86,-2.23,-3.84,0.02,0,0.157,0.843,0.017,0,42.3,2.9,0,-5.86,-6.49,0.008,41.7,2.9,0,-5.86,-7.14,0.006
"Jag1",55.3,0.1,0,0.1,-1.1,0.22,-2.14,-3.36,0.022,0.001,0.236,0.764,0.017,0,40.5,0.1,0,-1.1,-5.86,0.014,44.6,0.1,0,-1.1,-6.57,0.009
"Jagn1",69.9,0.1,0.1,0,0.03,-1.23,-1.83,-3.79,0.037,0,0.106,0.894,0.033,0,78,0.1,0.1,-0.23,-3.93,0.048,70.5,0.1,0,-1.23,-6.63,0.009
"Jak1",336.5,2.5,0.7,0.4,-1.79,-2.61,-1.96,-3.56,0.026,0,0.139,0.861,0.022,0,329.4,2.5,14.1,2.45,-0.52,0.416,341,2.5,0.3,-2.82,-4.69,0.013
"Jak2",161.8,1349.1,0,0.3,-14.72,-11.91,-2.25,-3.87,0.017,0,0.155,0.845,0.014,0,156.8,1349.1,0,-14.72,-7.39,0.011,164.9,1349.1,0.1,-13.68,-7.76,0.005
"Jakmip2",24.5,0,0.1,0,1.92,0,-1.58,-3.74,0.071,0,0.08,0.92,0.065,0,0,0,0,0,0,0,27.4,0,0.1,1.04,-3.64,0.1
"Jam2",174.3,3.6,0.3,0.2,-3.45,-3.71,-2.04,-3.62,0.03,0,0.148,0.852,0.026,0,164.5,3.6,0,-6.18,-6.65,0.007,177.1,3.6,0.2,-4.12,-5.26,0.008
"Jam3",49.5,2.9,0.1,0,-4.6,-5.86,-2.15,-3.84,0.02,0,0.138,0.862,0.017,0,43.3,2.9,0,-5.86,-6.6,0.008,43.5,2.9,0,-5.86,-7.22,0.004
"Jarid2",53.3,3,0,0,-5.91,-5.91,-2.21,-3.81,0.016,0,0.156,0.844,0.013,0,55.8,3,0,-5.91,-6.61,0.009,54.5,3,0,-5.91,-7.14,0.005
"Jazf1",103.9,0.1,0.1,0.2,0.69,1.23,-1.99,-3.25,0.02,0.001,0.202,0.798,0.016,0,117.8,0.1,0.1,-0.23,-4.01,0.047,115.7,0.1,0,-1.23,-6.72,0.01
"Jkamp",215.2,0,0.2,0.2,2.38,2,-1.92,-3.37,0.023,0,0.155,0.845,0.019,0,201,0,0.1,1,-3.92,0.064,192.5,0,0.1,1.04,-4.45,0.049
"Jmjd1c",149.8,0.1,0.1,0.4,0.12,1.29,-2.05,-3.19,0.021,0.001,0.229,0.771,0.016,0,156.8,0.1,0,-1.8,-6.09,0.013,139.7,0.1,0.1,-0.76,-4.68,0.025
"Jmjd4",19,0.1,0,0,-1.23,-1.23,-2.09,-3.69,0.027,0,0.164,0.836,0.023,0,19.1,0.1,0,-1.23,-5.96,0.018,15.9,0.1,0,-1.23,-6.52,0.01
"Jmy",201.4,39.7,0.3,0.2,-6.64,-7.17,-2.18,-3.8,0.017,0,0.149,0.851,0.015,0,183.6,39.7,3.6,-3.44,-4.19,0.022,195.2,39.7,0,-9.63,-7.58,0.004
"Josd1",84.9,0.1,0,0,-1.23,-1.23,-2.12,-3.73,0.023,0,0.157,0.843,0.019,0,77.4,0.1,0,-1.23,-6.05,0.016,84.3,0.1,0,-1.23,-6.53,0.008
"Jph2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0.1,1.04,-3.53,0.118
"Jrkl",35,12.7,0,0,-8,-8,-2.26,-3.87,0.02,0,0.162,0.838,0.017,0,29.9,12.7,0,-8,-6.83,0.006,31.5,12.7,0,-8,-7.41,0.004
"Jtb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,0,0.1,1.04,-3.8,0.083
"Jun",7.7,0.2,0,0,-2.48,-2.48,-2.16,-3.76,0.023,0,0.163,0.837,0.019,0,7.2,0.2,0.1,-1.48,-4.16,0.035,7.4,0.2,0,-2.48,-6.6,0.006
"Kalrn",11,0.1,0,0,-1.1,-1.1,-2.07,-3.73,0.025,0,0.145,0.855,0.022,0,16.3,0.1,0.1,-0.1,-3.65,0.062,14.8,0.1,0,-1.1,-6.66,0.011
"Kank3",23.2,0,0.1,0,1.26,0,-1.74,-3.71,0.046,0,0.097,0.903,0.041,0,0,0,0,0,0,0,24.3,0,0.1,1.04,-3.71,0.094
"Kansl1",99.8,0.1,0.1,0,0.03,-1.23,-1.84,-3.78,0.041,0,0.114,0.886,0.037,0,96,0.1,0,-1.23,-6.08,0.012,95.7,0.1,0,-1.23,-6.58,0.008
"Kansl1l",113.3,29,0.1,0.2,-7.26,-6.72,-2.21,-3.76,0.016,0,0.155,0.845,0.014,0,102.2,29,0,-9.18,-6.96,0.008,102.8,29,0,-9.18,-7.63,0.004
"Kansl2",110.9,47.9,0.1,0.1,-8.64,-8.58,-2.22,-3.86,0.021,0,0.157,0.843,0.018,0,113.8,47.9,0,-9.9,-7.11,0.008,101,47.9,5.8,-3.04,-4.23,0.022
"Kansl3",237.2,0.3,0.1,0.3,-1.71,-0.16,-2.09,-3.31,0.021,0.001,0.22,0.78,0.016,0,244.4,0.3,0.1,-1.97,-4.77,0.017,235.8,0.3,0,-2.97,-6.94,0.007
"Kap",88.4,0.1,0.1,0.1,0.03,0.09,-1.96,-3.44,0.027,0,0.158,0.842,0.023,0,90.4,0.1,0,-1.23,-6.05,0.012,90.8,0.1,0,-1.23,-6.69,0.009
"Kars",38,3133.8,0.1,0,-14.67,-15.94,-2.24,-3.89,0.023,0,0.163,0.837,0.019,0,35.1,3133.8,0,-15.94,-7.31,0.009,26.2,3133.8,0,-15.94,-8.04,0.007
"Kat2b",135.6,31.1,0.3,0,-6.28,-9.28,-2.18,-3.85,0.018,0,0.148,0.852,0.015,0,146.6,31.1,0,-9.28,-7.09,0.007,146.1,31.1,0,-9.28,-7.56,0.005
"Kat5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,0,0.1,1.04,-3.74,0.085
"Kat6b",34.5,0,46,0,9.85,0,0.12,-3.87,0.522,0,0.064,0.936,0.488,0,0,0,0,0,0,0,30.8,0,0.8,4.07,-0.81,0.406
"Kat7",186.2,6.5,0.7,0.1,-3.13,-5.71,-2.02,-3.75,0.023,0,0.128,0.872,0.02,0,180.5,6.5,0.1,-6.03,-5.91,0.006,182.7,6.5,0.1,-6,-6.34,0.003
"Kat8",65.5,7.3,0.1,0.1,-5.94,-5.88,-2.14,-3.75,0.024,0,0.156,0.844,0.02,0,69.5,7.3,0,-7.2,-6.74,0.009,71.1,7.3,0.1,-6.16,-6.3,0.003
"Katna1",205.8,0.1,0.2,0,1.15,-1.23,-1.73,-3.79,0.045,0,0.084,0.916,0.041,0,211.2,0.1,0.1,0.36,-3.57,0.066,201.5,0.1,0,-1.23,-6.67,0.01
"Katnal1",48.2,0,0.1,0,1.92,0,-1.6,-3.74,0.068,0,0.077,0.923,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0
"Katnbl1",53.1,3596.6,97.6,0.1,-5.2,-14.81,-2.06,-3.88,0.022,0,0.118,0.882,0.02,0,59.8,3596.6,0,-16.13,-7.45,0.011,51.6,3596.6,5.9,-9.25,-6.7,0.002
"Kbtbd11",70.7,0.7,0.2,0.2,-1.61,-1.52,-2.04,-3.45,0.025,0,0.18,0.82,0.021,0,64.2,0.7,0,-3.99,-6.39,0.009,77.6,0.7,0.1,-2.95,-5.36,0.009
"Kbtbd2",28.5,16.4,5.2,0,-1.65,-8.36,-1.79,-3.87,0.033,0,0.081,0.919,0.03,0,27.5,16.4,0,-8.36,-6.79,0.008,31.1,16.4,0.1,-7.32,-6.61,0.003
"Kbtbd3",46.2,0.1,0.1,0,0.03,-1.23,-1.82,-3.72,0.038,0,0.101,0.899,0.034,0,42.3,0.1,0,-1.23,-6.02,0.009,46.5,0.1,0,-1.23,-6.67,0.008
"Kbtbd4",73.4,0.3,0,0,-2.67,-2.67,-2.17,-3.73,0.019,0,0.163,0.837,0.016,0,90.7,0.3,0,-2.67,-6.17,0.012,89.4,0.3,0.1,-1.63,-4.86,0.017
"Kbtbd7",52.5,90.7,0,0,-10.83,-10.83,-2.25,-3.86,0.019,0,0.151,0.849,0.016,0,53.9,90.7,0,-10.83,-7.17,0.008,53.3,90.7,0.1,-9.78,-7.17,0.002
"Kbtbd8",49.1,0.1,0.1,0,0.03,-1.23,-1.87,-3.78,0.034,0,0.101,0.899,0.03,0,44,0.1,0.1,-0.23,-4.02,0.044,43.2,0.1,0,-1.23,-6.6,0.008
"Kcmf1",45.7,0.2,0,0,-2.48,-2.48,-2.06,-3.76,0.027,0,0.144,0.856,0.023,0,52.4,0.2,0,-2.48,-6.01,0.014,54.1,0.2,0,-2.48,-6.61,0.007
"Kcna1",128.6,0.3,0.1,0.2,-1.49,-0.29,-2.07,-3.26,0.018,0.001,0.227,0.773,0.014,0,143.9,0.3,0.1,-1.16,-4.04,0.036,144.5,0.3,0,-2.75,-6.73,0.006
"Kcna2",13.2,0,0.1,0,1.26,0,-1.69,-3.74,0.053,0,0.088,0.912,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcna4",14,0,0.1,0,1.26,0,-1.71,-3.73,0.058,0,0.104,0.896,0.052,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcnab1",109.9,725.4,0.1,0,-11.9,-13.82,-2.21,-3.9,0.019,0,0.15,0.85,0.016,0,108.7,725.4,0.1,-12.82,-7.08,0.008,98.2,725.4,0.1,-12.78,-7.68,0.004
"Kcnb1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0.1,1,-3.38,0.103,0,0,0,0,0,0
"Kcnc2",69.7,0.2,0.1,0,-0.22,-2.15,-1.82,-3.76,0.03,0,0.102,0.898,0.027,0,68.9,0.2,0.1,-1.15,-4.23,0.041,73.4,0.2,0,-2.15,-6.77,0.006
"Kcnd2",105.3,0.1,0.1,0.1,0.03,0.09,-1.98,-3.4,0.022,0,0.173,0.827,0.018,0,97.1,0.1,0.1,-0.23,-4.04,0.054,100.2,0.1,0.2,0.83,-3.1,0.116
"Kcnd3",118.9,55.2,0.1,0.5,-8.19,-6.78,-2.23,-3.77,0.019,0,0.171,0.829,0.016,0,125.1,55.2,0,-10.11,-7.09,0.01,123.8,55.2,0.1,-9.07,-7.06,0.003
"Kcne3",168.6,0.2,0.6,0,1.4,-2.21,-1.6,-3.78,0.059,0,0.071,0.929,0.055,0,160.5,0.2,0.1,-1.21,-4.53,0.026,167.6,0.2,0.1,-1.17,-4.89,0.019
"Kcne4",82,0,0.2,0.2,2.38,2.46,-1.92,-3.31,0.025,0.001,0.178,0.822,0.02,0,66.7,0,0.1,1,-3.65,0.083,0,0,0,0,0,0
"Kcnf1",50.4,0.1,0.1,0,0.69,-1.23,-1.73,-3.76,0.05,0,0.092,0.908,0.045,0,52,0.1,0,-1.23,-5.98,0.014,50.6,0.1,0,-1.23,-6.67,0.007
"Kcnh1",27,0,0.1,0,1.92,0,-1.58,-3.73,0.066,0,0.084,0.916,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcnip1",37.6,0.1,0,0,-1.1,-1.1,-2.07,-3.74,0.025,0,0.149,0.851,0.021,0,42.9,0.1,0,-1.1,-5.93,0.016,38.5,0.1,0,-1.1,-6.61,0.009
"Kcnip4",88.3,1.2,0.1,0.2,-3.39,-2.65,-2.13,-3.55,0.021,0,0.181,0.819,0.017,0,95.1,1.2,0,-4.66,-6.48,0.009,83.9,1.2,0,-4.66,-6.9,0.004
"Kcnj1",42.6,7.6,0,0,-7.26,-7.26,-2.21,-3.88,0.02,0,0.149,0.851,0.017,0,50.2,7.6,0,-7.26,-6.8,0.007,41.9,7.6,0.1,-6.22,-6.25,0.003
"Kcnj10",73.8,0.1,0,0,-1.23,-1.23,-2.08,-3.71,0.024,0,0.158,0.842,0.021,0,79.1,0.1,0,-1.23,-6.06,0.013,74.3,0.1,0.1,-0.19,-4.3,0.039
"Kcnj13",112.8,0,0.3,0,2.72,0,-1.54,-3.78,0.076,0,0.076,0.924,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcnj15",233,474.8,0.3,0,-10.22,-13.21,-2.21,-3.88,0.021,0,0.158,0.842,0.018,0,209.5,474.8,0.1,-12.21,-7.02,0.007,220.5,474.8,0.1,-12.17,-7.7,0.004
"Kcnj16",141.9,483,0.2,0.2,-10.86,-11.24,-2.21,-3.88,0.02,0,0.148,0.852,0.017,0,156.9,483,0.1,-12.24,-7,0.007,155.2,483,0.3,-10.36,-7.19,0.002
"Kcnk1",65.9,0.1,0.1,0.1,0.69,0.09,-1.84,-3.47,0.035,0,0.135,0.865,0.03,0,70.4,0.1,0,-1.23,-5.98,0.014,73.4,0.1,0,-1.23,-6.61,0.009
"Kcnk2",29.2,0,0.1,0,1.26,0,-1.72,-3.69,0.054,0,0.106,0.894,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcnk5",5.4,112.5,0,0,-11.14,-11.14,-2.22,-3.91,0.024,0,0.148,0.852,0.021,0,2.5,112.5,0,-11.14,-7.12,0.007,3.7,112.5,0,-11.14,-7.88,0.006
"Kcnn2",36.3,0.1,0,0,-1.72,-1.72,-2.13,-3.77,0.022,0,0.152,0.848,0.019,0,25.8,0.1,0,-1.72,-6.05,0.012,25,0.1,0,-1.72,-6.62,0.007
"Kcnq1",3.9,1.1,0,0.1,-4.49,-3.17,-2.21,-3.7,0.02,0,0.174,0.826,0.017,0,1.4,1.1,0.1,-3.49,-4.84,0.013,3,1.1,0,-4.49,-6.92,0.005
"Kcnq5",33.1,0,0.1,0.1,1.92,1.32,-1.82,-3.47,0.043,0,0.143,0.857,0.037,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcnrg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5,0,0.1,1.59,-2.42,0.202,0,0,0,0,0,0
"Kcns3",14.2,0.1,0,0,-1.23,-1.23,-2.1,-3.74,0.023,0,0.151,0.849,0.02,0,17,0.1,0,-1.23,-5.93,0.015,19.4,0.1,0,-1.23,-6.51,0.009
"Kcnu1",25.5,0,0.1,0,1.26,0,-1.72,-3.72,0.056,0,0.1,0.9,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcnv1",20.8,0,0.1,0,1.92,0,-1.58,-3.75,0.068,0,0.077,0.923,0.063,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kctd1",18.5,0.1,0.1,0,0.03,-1.23,-1.8,-3.72,0.043,0,0.097,0.903,0.039,0,17.1,0.1,0.1,0.36,-2.83,0.119,16.5,0.1,0,-1.23,-6.6,0.008
"Kctd11",8.2,0.1,0,0,-1.1,-1.1,-2.07,-3.69,0.024,0,0.153,0.847,0.02,0,12.1,0.1,0,-1.1,-5.92,0.013,10,0.1,0,-1.1,-6.56,0.01
"Kctd12",143.4,7.9,0.2,0.3,-4.93,-4.5,-2.15,-3.65,0.018,0,0.166,0.834,0.015,0,147.6,7.9,0,-7.31,-6.84,0.007,139.9,7.9,0.1,-6.27,-6.31,0.003
"Kctd16",10.3,0,0.1,0,1.26,0,-1.69,-3.7,0.058,0,0.1,0.9,0.053,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kctd18",9,187.1,0,0,-11.87,-11.87,-2.18,-3.87,0.021,0,0.154,0.846,0.017,0,13.9,187.1,0,-11.87,-7.36,0.011,10.4,187.1,0,-11.87,-7.89,0.005
"Kctd19",58.2,0,0.1,0.1,1.26,1.32,-1.92,-3.41,0.028,0,0.157,0.843,0.024,0,62.2,0,0.2,2,-2.6,0.179,0,0,0,0,0,0
"Kctd20",28,10.5,0.1,0,-6.46,-7.73,-2.18,-3.88,0.02,0,0.151,0.849,0.017,0,29,10.5,0,-7.73,-6.75,0.008,35.8,10.5,0,-7.73,-7.52,0.003
"Kctd21",31,0,0.1,0,1.92,0,-1.62,-3.75,0.06,0,0.081,0.919,0.055,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kctd4",35.2,0.7,0,0,-3.88,-3.88,-2.16,-3.78,0.021,0,0.152,0.848,0.017,0,37.5,0.7,0,-3.88,-6.37,0.01,34.8,0.7,0,-3.88,-6.84,0.006
"Kctd6",44.4,6.2,0.1,0.1,-5.05,-5.65,-2.12,-3.72,0.02,0,0.144,0.856,0.017,0,54.3,6.2,0,-6.97,-6.63,0.007,52.5,6.2,0,-6.97,-7.19,0.005
"Kctd7",46.4,0.1,0,0,-1.23,-1.23,-2.03,-3.72,0.024,0,0.131,0.869,0.021,0,51.3,0.1,0.1,0.36,-3.14,0.1,48.2,0.1,0,-1.23,-6.65,0.008
"Kctd9",127.8,2.8,0,0.2,-5.84,-3.84,-2.18,-3.59,0.02,0,0.187,0.813,0.016,0,123.4,2.8,0,-5.84,-6.61,0.007,121.6,2.8,0,-5.84,-7.18,0.004
"Kdelc1",55.3,0.1,0.1,0,0.69,-1.23,-1.69,-3.79,0.046,0,0.085,0.915,0.042,0,51.5,0.1,0,-1.23,-6.01,0.016,61.8,0.1,0,-1.23,-6.57,0.006
"Kdelr2",1.6,2.1,0,0,-5.44,-5.44,-2.19,-3.82,0.017,0,0.154,0.846,0.014,0,1.7,2.1,0,-5.44,-6.57,0.008,1,2.1,0,-5.44,-7,0.005
"Kdelr3",13.9,0.9,0,0.1,-4.28,-2.96,-2.22,-3.56,0.019,0,0.196,0.804,0.015,0,12.3,0.9,0,-4.28,-6.38,0.008,14.1,0.9,0,-4.28,-6.87,0.005
"Kdm1a",111.7,22.7,0.3,0.2,-6.11,-6.37,-2.17,-3.75,0.018,0,0.162,0.838,0.015,0,105.6,22.7,1877,6.36,4.46,0.949,100,22.7,1273,5.8,3.96,0.922
"Kdm1b",265.1,37.1,0.1,0.8,-7.61,-5.4,-2.24,-3.65,0.02,0,0.184,0.816,0.017,0,256.9,37.1,0.1,-8.53,-6.41,0.004,265.4,37.1,0.2,-7.48,-6.31,0.003
"Kdm2a",7.9,0.1,0,0,-1.23,-1.23,-2.09,-3.71,0.019,0,0.152,0.848,0.016,0,6.3,0.1,0,-1.23,-5.93,0.017,6.3,0.1,0,-1.23,-6.45,0.009
"Kdm2b",97.2,590.1,0.2,0.2,-11.15,-11.06,-2.21,-3.87,0.021,0,0.161,0.839,0.018,0,82.2,590.1,0.1,-11.94,-7,0.005,88.9,590.1,0,-13.53,-8,0.005
"Kdm3a",95.8,0.2,0,0.1,-2.15,-0.82,-2.17,-3.43,0.024,0,0.227,0.773,0.019,0,103.2,0.2,0,-2.15,-6.08,0.014,108.3,0.2,0,-2.15,-6.76,0.006
"Kdm3b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.8,0,0.4,3.17,-1.93,0.266,0,0,0,0,0,0
"Kdm4c",85.4,0.2,0.1,0,-0.89,-2.15,-1.97,-3.76,0.028,0,0.114,0.886,0.025,0,68.1,0.2,0,-2.15,-6.22,0.013,63.3,0.2,0,-2.15,-6.71,0.009
"Kdm4d",9.6,0,0,0.1,0,1.32,-2.1,-3.2,0.022,0.001,0.248,0.752,0.017,0,0,0,0,0,0,0,9.5,0,0.1,1.04,-3.29,0.128
"Kdm5a",153.4,0.1,0.1,0.1,-0.54,-0.48,-2.03,-3.49,0.022,0,0.17,0.83,0.018,0,135.9,0.1,0,-1.8,-6.07,0.012,131.6,0.1,0.1,-0.76,-4.66,0.028
"Kdm5b",104.1,0.1,0,0,-1.23,-1.23,-2.12,-3.72,0.02,0,0.154,0.846,0.017,0,108.4,0.1,0.1,-0.23,-4.07,0.045,106.3,0.1,0,-1.23,-6.63,0.008
"Kdm5c",66.2,0.1,0,0,-1.8,-1.8,-2.16,-3.73,0.02,0,0.156,0.844,0.017,0,50.1,0.1,0.1,-0.8,-4.16,0.041,52.5,0.1,0,-1.8,-6.66,0.006
"Kdm6a",66.3,0,0.1,0,1.26,0,-1.78,-3.72,0.04,0,0.095,0.905,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kdm7a",134.2,103.1,0.2,0.3,-8.63,-8.2,-2.19,-3.88,0.022,0,0.152,0.848,0.019,0,139.3,103.1,0,-11.01,-7.24,0.009,132.1,103.1,0.2,-8.95,-6.79,0.003
"Kdr",28.6,0.6,0,0,-3.71,-3.71,-2.14,-3.8,0.021,0,0.157,0.843,0.017,0,24,0.6,0,-3.71,-6.22,0.01,26.3,0.6,0,-3.71,-6.77,0.006
"Kdsr",65.4,78.3,0.1,0,-9.35,-10.61,-2.24,-3.86,0.02,0,0.149,0.851,0.017,0,74.7,78.3,0,-10.61,-7.21,0.008,70.9,78.3,0,-10.61,-7.81,0.005
"Keg1",381.1,0.1,1.2,0.8,2.83,2.33,-1.82,-3.26,0.03,0,0.147,0.853,0.025,0,400.9,0.1,0.2,0.52,-3.38,0.079,409.2,0.1,0.2,0.58,-3.57,0.076
"Khdc1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,0,198,11.95,10.19,0.975
"Khdc1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,2.3,5.57,2.48,0.71
"Khdc1c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,298.3,12.54,12.37,0.992
"Khdrbs1",39.6,0,193.9,0,11.92,0,2.1,-3.86,0.684,0,0.088,0.912,0.624,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khdrbs3",5,0,0.1,0,1.26,0,-1.64,-3.69,0.067,0,0.101,0.899,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khk",61.3,0.1,0.1,0,0.03,-1.23,-1.85,-3.76,0.033,0,0.1,0.9,0.03,0,57.6,0.1,0,-1.23,-6.03,0.013,60.3,0.1,0,-1.23,-6.57,0.01
"Kidins220",215.5,0.6,0.2,0.5,-1.31,-0.36,-2.07,-3.31,0.02,0,0.209,0.791,0.016,0,220.4,0.6,0.1,-2.09,-4.54,0.017,198.1,0.6,0,-3.68,-6.92,0.005
"Kif11",21.6,0,0.1,0,1.92,0,-1.59,-3.76,0.07,0,0.073,0.927,0.065,0,0,0,0,0,0,0,19.8,0,0.1,1.04,-3.69,0.1
"Kif12",2.8,0.1,0,0,-1.23,-1.23,-2.06,-3.69,0.029,0,0.156,0.844,0.025,0,2.5,0.1,0,-1.23,-5.91,0.015,2.7,0.1,0,-1.23,-6.46,0.013
"Kif13a",62.8,0.1,0,0,-1.72,-1.72,-2.1,-3.75,0.023,0,0.145,0.855,0.02,0,54.4,0.1,0,-1.72,-6.12,0.011,54,0.1,0,-1.72,-6.72,0.007
"Kif14",3.8,0.6,0,0,-3.64,-3.64,-2.22,-3.83,0.019,0,0.162,0.838,0.016,0,2,0.6,0,-3.64,-6.21,0.01,2.1,0.6,5.8,3.22,0.69,0.601
"Kif16b",64.2,0.4,0.1,0,-1.12,-3.05,-1.91,-3.81,0.032,0,0.1,0.9,0.029,0,67.2,0.4,0,-3.05,-6.22,0.011,70.9,0.4,0,-3.05,-6.82,0.007
"Kif18a",34.9,0.1,0,0,-1.23,-1.23,-2.09,-3.67,0.019,0,0.154,0.846,0.016,0,31.4,0.1,0,-1.23,-6.05,0.015,35.3,0.1,0,-1.23,-6.76,0.008
"Kif1a",15.8,0,0.1,0,1.92,0,-1.58,-3.73,0.073,0,0.081,0.919,0.067,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kif1b",334.1,7.7,0.6,0.2,-3.52,-5.28,-2.04,-3.74,0.02,0,0.12,0.88,0.017,0,319.7,7.7,0.2,-4.96,-5.17,0.006,326.7,7.7,0,-7.28,-7.3,0.004
