bait (F[1,2])	prey (F[3])	DMSO	FK506	H2O2	NaCl	CuSO4
DBP2	PDR5	0.0306457352810402	-0.00631710877019531	0.0112360341367147	-0.0384624862309727	-0.00320834807822279
ho::NatMX	SHR3	0.0290205111495805	0.0193914107765277	-0.00706966944965645	0.00947301116336961	0.0194893976622879
DST1	PRS3	0.0289060940456024	-0.00724412787715467	0.0238874811198565	0.00807522078987448	-0.0128035418577736
IMD3	FPR1	0.0286368997535772	-0.0911896658978579	-0.0375838291875135	-0.00709986021909585	-0.0777716024578576
HOM3	SHR3	0.0222400882560042	-0.0296865395967291	0.00327342162359711	0.03992798516227	-0.0334626123230723
SHR3	RPB9	0.0222332417296603	-0.0242129547926012	0.0153747552549261	-0.0352091078972963	-0.0104876685129976
ho::NatMX	FPR1	0.0211958726111749	-0.0321762511670074	-0.0200515340455983	-0.0160289729988138	-0.0125489483218289
DBP2	FPR1	0.0206347388662302	-0.000513382458655162	0.0215463001022188	-0.008294953607166	0.0309163499935632
HOM3	IMD3	0.0158079593120332	-0.121938187763724	0.0120398913596356	0.056382551862956	-0.0525727671081749
ho::NatMX	ho::HphMX	0.0149306237077538	0.0069647861014398	-0.0117448573820776	0.0096644083012168	0.0242980646485383
ho::NatMX	PDR5	0.0136601188568932	-0.00879730048492106	0.00880818202273298	0.0172015578531198	0.0259746870898631
DBP2	PRS3	0.0116995801441555	-0.0186707352574542	-0.0118146869669895	-0.023325743008287	0.0164241640876462
DBP2	SHR3	0.0115145932206564	-0.000831426814350953	-0.016369937635031	0.00271826233988351	0.0229889259563536
PRS3	IMD3	0.00926363363774222	0.0836048809298914	0.0332470060828987	-0.00501451509641817	-0.0123598798451629
HOM3	DBP2	0.0074054171199525	-0.0181622459600489	-0.0522311321018771	-0.0440809457695771	-0.0600180163352669
SHR3	PDR5	0.00555347310326031	0.00858391151523641	-0.00367447279484714	0.0115464854359532	-0.0349631155466297
PRS3	DBP2	0.00378472332944396	0.0109555410386272	0.0326426318814081	-0.00842863906645177	0.00297103545389195
DBP2	RPB9	0.00315122883015528	-0.0429572586648734	-0.0117686433981678	-0.0463187811128031	0.00110872967096034
SHR3	PRS3	-0.000708887290923262	0.00401992191062875	-0.000725170263217346	0.0136724493288904	-0.039978063819702
DST1	FPR1	-0.00940900192353979	-0.0188459789171191	-0.00380127483136738	-0.02883780598528	-0.00781481670645806
ho::NatMX	SNQ2	-0.012940790649118	0.00586917302031586	-0.0111508904864824	-0.0467300165204679	-0.0464475756090255
FMP45	RPB9	-0.0135172994656431	-0.0533621375375827	-0.0744375440313148	-0.0692240712788067	-0.0247518108479161
DST1	SHR3	-0.0158209110866743	-0.0145011409362588	-0.00880733218185396	-0.0116742548461578	-0.00333627315332857
TPO1	RPB9	-0.0196808950759309	-0.0664179092576259	-0.0371086055027402	-0.102382327412065	-0.0423369799071127
DBP2	ho::HphMX	-0.0214194423812827	-0.0444742248394336	-0.0242171967689184	-0.0477746313812585	-0.0172157046415313
FMP45	PRS3	-0.0233975936048791	-0.031274102024167	-0.0362887301007156	-0.0317607725784647	-0.0396445176213447
IMD3	SHR3	-0.0240181120499	-0.00682766733773962	-0.0553540410541786	-0.0213975852365444	-0.0349554130564383
HOM3	PDR5	-0.0245052941716534	-0.0512190741178188	-0.0182827028570859	-0.0275529977308927	-0.02571109231154
DST1	HXT1	-0.0251113467395234	-0.0568404770680968	-0.044362159307257	-0.032479300224064	-0.0276103181775528
FMP45	DBP2	-0.0254546168855233	-0.0344093148461667	-0.0366240990717331	-0.05740840954383	-0.0469017431479308
HOM3	HXT1	-0.0270916408637011	-0.0304915278687238	-0.0485660044607077	0.0143130345445071	-0.0702884215102619
FTR1	SNQ2	-0.0294994166278417	0.0092113985038	0.00687886804960266	0.0131762674426181	0.0569969301082395
DBP2	HXT1	-0.0304465560019821	-0.058350837961218	-0.0564670321148829	-0.04063538632654	-0.0285831946010297
