"prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores"
"AT1G04410","NINJA_SE",0,0.691588785046729,"AT1G04410.1",0.691588785046729,2.03452036606762
"AT1G04420","NINJA_SE",0.295609593002556,0,"0",0.295609593002556,3.11206208747371
"AT1G04425","NINJA_SE",0.427417757878308,0,"0",0.427417757878308,4.87734454927816
"AT1G04430","NINJA_SE",0.371542715218029,0,"0",0.371542715218029,3.94429123000552
"AT1G04433","NINJA_SE",0.241159624955955,0,"0",0.241159624955955,2.71145096056623
"AT1G04440","NINJA_SE",0.48164094078223,0.298182762201454,"AT1G04440.1",0.779823702983684,12.6641086186541
"AT1G04445","EMPTY_SE",0.405690872596396,0,"0",0.405690872596396,4.46379525593009
"AT1G04450","EMPTY_SE",0.151571303154866,0,"0",0.151571303154866,2.25322970276231
"AT1G04450","NINJA_SE",0,0.298182762201454,"AT1G04450.1",0.298182762201454,1.98170985173895
"AT1G04463","NINJA_SE",0.138695299535579,0,"0",0.138695299535579,2.17565032199179
"AT1G04470","NINJA_SE",0.122862973026661,0,"0",0.122862973026661,2.1258484863499
"AT1G04480","NINJA_SE",0.494088779191902,0.899169262720665,"AT1G04480.1",1.39325804191257,36.2994923857868
"AT1G04487","EMPTY_SE",0.151571303154866,0,"0",0.151571303154866,2.25275648430117
"AT1G04503","EMPTY_SE",0.490836116984757,0,"0",0.490836116984757,6.6946481510376
"AT1G04510","EMPTY_SE",0.233759503991565,0,"0",0.233759503991565,2.6588585238892
"AT1G04520","NINJA_SE",0.0642685449282209,0,"0",0.0642685449282209,1.9028738690793
"AT1G04530","NINJA_SE",0.0617484383107011,0,"0",0.0617484383107011,1.89447191805016
"AT1G04537","EMPTY_SE",0.00193965410262649,0,"0",0.00193965410262649,1.72223337213503
"AT1G04540","EMPTY_SE",0.344906524579555,0,"0",0.344906524579555,3.61618204804045
"AT1G04540","NINJA_SE",0,0.298182762201454,"AT1G04540.1",0.298182762201454,1.98152680921812
"AT1G04550","EMPTY_SE",0.480693684099685,0,"0",0.480693684099685,6.31063391675246
"AT1G04555","NINJA_SE",0.381509483157644,0,"0",0.381509483157644,4.06614859742229
"AT1G04570","EMPTY_SE",0.0476354724500104,0,"0",0.0476354724500104,1.85091238514301
"AT1G04580","EMPTY_SE",0.172959548203522,0,"0",0.172959548203522,2.32628497072219
"AT1G04583","NINJA_SE",0.213033417369829,0,"0",0.213033417369829,2.54378371968933
"AT1G04590","NINJA_SE",0.384495050216578,0.298182762201454,"AT1G04590.1,AT1G04590.2",0.682677812418032,6.07217662043589
"AT1G04593","NINJA_SE",0.0961899701961475,0,"0",0.0961899701961475,2.03616173120729
"AT1G04600","NINJA_SE",0.213033417369829,0,"0",0.213033417369829,2.54333135743924
"AT1G04603","EMPTY_SE",0.0155209372132913,0,"0",0.0155209372132913,1.76017394158188
"AT1G04620","NINJA_SE",0.445771527022453,0,"0",0.445771527022453,5.27878937007874
"AT1G04625","EMPTY_SE",0.273303183496684,0,"0",0.273303183496684,2.9291370835609
