"","prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores","interactor","SNRFPKM"
"7720","AT3G54900","NINJA_SE",0.486757496864915,0.882917964693666,"AT3G54900.1",1.36967546155858,27.4510556621881,NA,0
"7721","AT3G54910","NINJA_SE",0,1,"AT3G54910.2",1,2.06775903614458,NA,0
"7722","AT3G54950","NINJA_SE",0.185427513419337,0,"0",0.185427513419337,1.60198633461524,NA,0
"7723","AT3G54960","NINJA_SE",0.238663702951267,0.298182762201454,"AT3G54960.1",0.53684646515272,2.99748497974011,NA,0
"7724","AT3G54980","NINJA_SE",0.357281134350367,0,"0",0.357281134350367,2.11547184695789,NA,0
"7725","AT3G55000","NINJA_SE",0.399746281005703,0,"0",0.399746281005703,2.29738702077533,NA,0
"7726","AT3G55010","NINJA_SE",0,0.298182762201454,"AT3G55010.1,AT3G55010.2",0.298182762201454,1.73154687436943,NA,0
"7727","AT3G55020","NINJA_SE",0.39451017103925,1,"AT3G55020.1,AT3G55020.3",1.39451017103925,9.7713504896379,NA,0
"7728","AT3G55030","NINJA_SE",0.357561413271225,0.821599169262721,"AT3G55030.1",1.17916058253395,6.31249080476681,NA,0
"7729","AT3G55040","NINJA_SE",0.385155355118798,0,"0",0.385155355118798,2.23108522697728,NA,0
"7730","AT3G55060","NINJA_SE",0.360350546553668,0,"0",0.360350546553668,2.12700773349197,NA,0
"7731","AT3G55070","NINJA_SE",0.463180852403519,0,"0",0.463180852403519,2.63517995332269,NA,0
"7732","AT3G55080","NINJA_SE",0.315395107908323,0,"0",0.315395107908323,1.96141714285714,NA,0
"7733","AT3G55100","NINJA_SE",0.104678549244378,0,"0",0.104678549244378,1.43709807073955,NA,0
"7734","AT3G55120","NINJA_SE",0.245086073293876,0,"0",0.245086073293876,1.74841075794621,NA,0
"7735","AT3G55160","NINJA_SE",0.246611675635423,0,"0",0.246611675635423,1.75240973697108,NA,0
"7736","AT3G55170","NINJA_SE",0.498300358123227,0.929231568016615,"AT3G55170.1,AT3G55170.5",1.42753192613984,51.1394517282479,NA,0
"7737","AT3G55250","NINJA_SE",0.228143716011225,0,"0",0.228143716011225,1.70356547288176,NA,0
"7738","AT3G55260","NINJA_SE",0.379452693684042,0,"0",0.379452693684042,2.20483042137718,NA,0
"7739","AT3G55270","NINJA_SE",0.280163850122692,0,"0",0.280163850122692,1.84796278749246,NA,0
"7740","AT3G55280","NINJA_SE",0.480126980866926,0.298182762201454,"AT3G55280.1,AT3G55280.2,AT3G55280.3",0.77830974306838,8.28301158301158,NA,0
"7741","AT3G55290","NINJA_SE",0.0514154327504091,0,"0",0.0514154327504091,1.34598613420334,NA,0
"7742","AT3G55350","NINJA_SE",0.337027288814257,0,"0",0.337027288814257,2.03635500711913,NA,0
"7743","AT3G55360","NINJA_SE",0,0.298182762201454,"AT3G55360.1",0.298182762201454,1.73133726091518,NA,0
"7744","AT3G55370","NINJA_SE",0,0.298182762201454,"AT3G55370.1,AT3G55370.2,AT3G55370.3",0.298182762201454,1.73119754680439,NA,0
"7745","AT3G55380","NINJA_SE",0.49434597510952,0.665628245067497,"AT3G55380.1,AT3G55380.2",1.15997422017702,17.1899038461538,NA,0
"7746","AT3G55400","NINJA_SE",0.395581664827931,0,"0",0.395581664827931,2.27509411951853,NA,0
"7747","AT3G55410","NINJA_SE",0.294666274780195,0.737019730010384,"AT3G55410.1,AT3G55410.2",1.03168600479058,4.4416149068323,NA,0
"7748","AT3G55420","NINJA_SE",0.351469795282679,0,"0",0.351469795282679,2.09001899751571,NA,0
"7749","AT3G55430","NINJA_SE",0,0.806905503634476,"AT3G55430.1",0.806905503634476,1.96339175399259,NA,0
"7750","AT3G55440","NINJA_SE",0,0.611734164070613,"AT3G55440.1",0.611734164070613,1.87313367676591,NA,0
"7751","AT3G55450","NINJA_SE",0.458813871652208,0.298182762201454,"AT3G55450.2",0.756996633853661,7.16413424611788,NA,0
"7752","AT3G55460","NINJA_SE",0,1,"AT3G55460.1",1,2.06696213508045,NA,0
"7753","AT3G55480","NINJA_SE",0,0.937642782969886,"AT3G55480.1,AT3G55480.2",0.937642782969886,2.0353889943074,NA,0
"7754","AT3G55490","NINJA_SE",0.293560260120347,0,"0",0.293560260120347,1.88796972630467,NA,0
"7755","AT3G55515","NINJA_SE",0.0269418309215713,0.298182762201454,"AT3G55515.1",0.325124593123025,1.92127888232133,NA,0
"7756","AT3G55520","NINJA_SE",0,0.717757009345794,"AT3G55520.3",0.717757009345794,1.91947389612133,NA,0
"7757","AT3G55530","NINJA_SE",0.0335929026823467,0,"0",0.0335929026823467,1.3175090585273,NA,0
"7758","AT3G55600","NINJA_SE",0.471846695088822,1,"AT3G55600.2",1.47184669508882,29.2474437627812,NA,0
"7759","AT3G55610","NINJA_SE",0.10558273313842,0,"0",0.10558273313842,1.43757957515245,NA,0
"7760","AT3G55620","NINJA_SE",0.0716441793577474,0.89797507788162,"AT3G55620.1",0.969619257239367,2.49816593886463,NA,0
"7761","AT3G55630","NINJA_SE",0.191591748283198,0,"0",0.191591748283198,1.61331077270164,NA,0
"7762","AT3G55640","NINJA_SE",0.0571170531059841,0.298182762201454,"AT3G55640.1,AT3G55640.2,AT3G55640.3,AT3G55640.4",0.355299815307438,2.0247274786466,NA,0
"7763","AT3G55660","NINJA_SE",0.220017751130254,0,"0",0.220017751130254,1.68140136374324,NA,0
"7764","AT3G55690","NINJA_SE",0.255235037020683,0,"0",0.255235037020683,1.7740014884644,NA,0
"7765","AT3G55700","NINJA_SE",0,0.298182762201454,"AT3G55700.1",0.298182762201454,1.73049931435025,NA,0
"7766","AT3G55730","NINJA_SE",0.330604470872584,1,"AT3G55730.1",1.33060447087258,6.29766622633201,NA,0
"7767","AT3G55740","NINJA_SE",0,1,"AT3G55740.2",1,2.06626535034915,NA,0
"7768","AT3G55750","NINJA_SE",0.488652216106238,0.730425752855659,"AT3G55750.1",1.2190779689619,18.2734241908007,NA,0
"7769","AT3G55770","NINJA_SE",0.018763601008702,0.859241952232606,"AT3G55770.4,AT3G55770.6",0.878005553241308,2.21153548786145,NA,0
"7770","AT3G55800","NINJA_SE",0.245086073293876,0,"0",0.245086073293876,1.74577857346299,NA,0
"7771","AT3G55820","NINJA_SE",0.0233556907031915,0,"0",0.0233556907031915,1.3014833014833,NA,0
"7772","AT3G55840","NINJA_SE",0.253824327722916,0,"0",0.253824327722916,1.7695384996082,NA,0
"7773","AT3G55850","NINJA_SE",0,0.298182762201454,"AT3G55850.2,AT3G55850.3,AT3G55850.4",0.298182762201454,1.73028995442997,NA,0
"7774","AT3G55880","NINJA_SE",0,1,"AT3G55880.1,AT3G55880.2,AT3G55880.3,AT3G55880.4",1,2.06596687211094,NA,0
"7775","AT3G55910","NINJA_SE",0.0740421727021342,0,"0",0.0740421727021342,1.38156877897991,NA,0
"7776","AT3G55920","NINJA_SE",0.392819315912458,0,"0",0.392819315912458,2.25904280524404,NA,0
"7777","AT3G55940","NINJA_SE",0.0449469712713805,0,"0",0.0449469712713805,1.33422476522172,NA,0
"7778","AT3G55960","NINJA_SE",0.483193549360138,0.913759086188993,"AT3G55960.1",1.39695263554913,28.5469061876247,NA,0
"7779","AT3G55980","NINJA_SE",0.178784724415153,0,"0",0.178784724415153,1.58353939841299,NA,0
"7780","AT3G56030","NINJA_SE",0.0483025071363064,0,"0",0.0483025071363064,1.33922217366877,NA,0
"7781","AT3G56040","NINJA_SE",0.418907083547853,0,"0",0.418907083547853,2.38102108768036,NA,0
"7782","AT3G56050","NINJA_SE",0.239265193623085,0,"0",0.239265193623085,1.72917422318946,NA,0
"7783","AT3G56060","NINJA_SE",0.0961899701961475,0,"0",0.0961899701961475,1.41678774270242,NA,0
"7784","AT3G56070","NINJA_SE",0,0.298182762201454,"AT3G56070.1",0.298182762201454,1.73008064516129,NA,0
"7785","AT3G56090","NINJA_SE",0.316703427472279,0.726791277258567,"AT3G56090.1",1.04349470473085,4.83338965866847,NA,0
