"prey","bait","Enrichment_score","Specificity_score","Sum_scores","Borda_scores"
"FMP45-F[1,2]_PDR5-F[3]","CuSO4",0.838324,0,0.838324,1.9723865877712
"FMP45-F[1,2]_PDR5-F[3]","DMSO",0.848972,0.0562492307692308,0.905221230769231,2.40963855421687
"FMP45-F[1,2]_PDR5-F[3]","FK506",0.834648,0.0918047058823529,0.926452705882353,2.57731958762887
"FMP45-F[1,2]_PDR5-F[3]","H2O2",0.880648,0.11164987654321,0.99229787654321,2.91545189504373
"FMP45-F[1,2]_PDR5-F[3]","NaCl",0.932648,0.71839625,1.65104425,20.4081632653061
"FMP45-F[1,2]_PRS3-F[3]","CuSO4",0.136648,0,0.136648,1.16414435389988
"FMP45-F[1,2]_PRS3-F[3]","DMSO",0.099296,0.237807202216066,0.337103202216066,1.57977883096367
"FMP45-F[1,2]_PRS3-F[3]","FK506",0.088972,0.351792708333333,0.440764708333333,1.7825311942959
"FMP45-F[1,2]_PRS3-F[3]","H2O2",0.111296,0.157654545454545,0.268950545454545,1.46627565982405
"FMP45-F[1,2]_PRS3-F[3]","NaCl",0.11962,0.120229112426035,0.239849112426035,1.39664804469274
"FMP45-F[1,2]_RPB9-F[3]","CuSO4",0.679296,0.134547520661157,0.813843520661157,2.40963855421687
"FMP45-F[1,2]_RPB9-F[3]","DMSO",0.567296,0.130615,0.697911,2.08333333333333
"FMP45-F[1,2]_RPB9-F[3]","FK506",0.69762,0.312477777777778,1.01009777777778,3.6101083032491
"FMP45-F[1,2]_RPB9-F[3]","H2O2",0.67362,0.33565,1.00927,3.63636363636364
"FMP45-F[1,2]_RPB9-F[3]","NaCl",0.538324,0,0.538324,1.51745068285281
"FMP45-F[1,2]_SHR3-F[3]","CuSO4",0.00884166666666667,0,0.00884166666666667,1.08108108108108
"FMP45-F[1,2]_SHR3-F[3]","DMSO",0.026648,0.0769822485207101,0.10363024852071,1.24069478908189
"FMP45-F[1,2]_SHR3-F[3]","FK506",0.012648,0.370729134948097,0.383377134948097,1.69491525423729
"FMP45-F[1,2]_SHR3-F[3]","H2O2",0.042324,0.164693125,0.207017125,1.40449438202247
"FMP45-F[1,2]_SHR3-F[3]","NaCl",0.00568333333333333,0.551582148760331,0.557265482093664,1.86567164179104
"FMP45-F[1,2]_SNQ2-F[3]","CuSO4",0.316648,0,0.316648,1.29533678756477
"FMP45-F[1,2]_SNQ2-F[3]","DMSO",0.306648,0.04316875,0.34981675,1.43266475644699
"FMP45-F[1,2]_SNQ2-F[3]","FK506",0.36162,0.200706435986159,0.562326435986159,1.91570881226054
"FMP45-F[1,2]_SNQ2-F[3]","H2O2",0.433296,0.269965,0.703261,2.26244343891403
"FMP45-F[1,2]_SNQ2-F[3]","NaCl",0.37362,0.67725,1.05087,3.01204819277108
"FTR1-F[1,2]_DBP2-F[3]","CuSO4",0.430324,0.0782186982248521,0.508542698224852,1.66112956810631
"FTR1-F[1,2]_DBP2-F[3]","DMSO",0.376324,0.246357479191439,0.622681479191439,2.06185567010309
"FTR1-F[1,2]_DBP2-F[3]","FK506",0.45962,0.398274444444444,0.857894444444445,2.84090909090909
"FTR1-F[1,2]_DBP2-F[3]","H2O2",0.428972,0.323211652794293,0.752183652794293,2.48756218905473
"FTR1-F[1,2]_DBP2-F[3]","NaCl",0.330648,0,0.330648,1.30548302872063
"FTR1-F[1,2]_FPR1-F[3]","CuSO4",0.846648,0.505474380165289,1.35212238016529,7.8740157480315
"FTR1-F[1,2]_FPR1-F[3]","DMSO",0.758324,0,0.758324,1.80831826401447
"FTR1-F[1,2]_FPR1-F[3]","FK506",0.778648,0.0566684023668639,0.835316402366864,2.2271714922049
"FTR1-F[1,2]_FPR1-F[3]","H2O2",0.755122222222222,0.031855625,0.786977847222222,2.06185567010309
"FTR1-F[1,2]_FPR1-F[3]","NaCl",0.764648,0.0201888888888889,0.784836888888889,2.00803212851406
"FTR1-F[1,2]_ho::HphMX","CuSO4",0.112972,0,0.112972,1.14025085518814
"FTR1-F[1,2]_ho::HphMX","DMSO",0.082648,0.0654499173553719,0.148097917355372,1.26582278481013
"FTR1-F[1,2]_ho::HphMX","FK506",0.050648,0.182775,0.233423,1.44092219020173
"FTR1-F[1,2]_ho::HphMX","H2O2",0.078972,0.232275306122449,0.311247306122449,1.54083204930663
"FTR1-F[1,2]_ho::HphMX","NaCl",0.07562,0.500699834710744,0.576319834710744,1.94552529182879
"FTR1-F[1,2]_HXT1-F[3]","CuSO4",0.97962,0.79905,1.77867,83.3333333333333
"FTR1-F[1,2]_HXT1-F[3]","DMSO",0.28762,0.083438,0.371058,1.49253731343284
"FTR1-F[1,2]_HXT1-F[3]","FK506",0.15362,0,0.15362,1.16550116550117
"FTR1-F[1,2]_HXT1-F[3]","H2O2",0.92562,0.390298512396694,1.31591851239669,8.19672131147541
"FTR1-F[1,2]_HXT1-F[3]","NaCl",0.945296,0.570333333333333,1.51562933333333,15.8730158730159
"FTR1-F[1,2]_IMD3-F[3]","CuSO4",0.72162,0.77885,1.50047,6.89655172413793
"FTR1-F[1,2]_IMD3-F[3]","DMSO",0.114324,0,0.114324,1.13895216400911
"FTR1-F[1,2]_IMD3-F[3]","FK506",0.134324,0.208859881656805,0.343183881656805,1.57977883096367
"FTR1-F[1,2]_IMD3-F[3]","H2O2",0.184972,0.281243786982249,0.466215786982249,1.79856115107914
"FTR1-F[1,2]_IMD3-F[3]","NaCl",0.192648,0.138140495867769,0.330788495867769,1.52905198776758
"FTR1-F[1,2]_PDR5-F[3]","CuSO4",0.93562,0.75685,1.69247,23.8095238095238
"FTR1-F[1,2]_PDR5-F[3]","DMSO",0.353296,0,0.353296,1.31578947368421
"FTR1-F[1,2]_PDR5-F[3]","FK506",0.45362,0.160631404958678,0.614251404958678,1.96850393700787
"FTR1-F[1,2]_PDR5-F[3]","H2O2",0.61562,0.238026038781163,0.853646038781163,2.67379679144385
"FTR1-F[1,2]_PDR5-F[3]","NaCl",0.82962,0.552939504132231,1.38255950413223,8.13008130081301
"FTR1-F[1,2]_PRS3-F[3]","CuSO4",0.18762,0.398406666666667,0.586026666666667,2.05338809034908
