"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","interactor","Fitness_Score"
"91","CuSO4","SHR3-F[1,2]_HXT1-F[3]",0.64162,0.306190909090909,0.947810909090909,3.25732899022801,1,0.113324484341012
"92","CuSO4","SHR3-F[1,2]_IMD3-F[3]",0.873296,0.0712869135802469,0.944582913580247,2.57731958762887,0,-0.121648214188218
"93","CuSO4","SHR3-F[1,2]_PDR5-F[3]",0.666324,0,0.666324,1.53139356814701,0,-0.0349631155466297
"94","CuSO4","SHR3-F[1,2]_PRS3-F[3]",0.534648,0.0917444982698962,0.626392498269896,1.85528756957328,0,-0.039978063819702
"95","CuSO4","SHR3-F[1,2]_RPB9-F[3]",0.470324,0,0.470324,1.32802124833997,0,-0.0104876685129976
"96","CuSO4","SHR3-F[1,2]_SHR3-F[3]",0.980324,0,0.980324,2.00400801603206,1,0.954580599760307
"97","CuSO4","SHR3-F[1,2]_SHR3-F[3]",0.980324,0,0.980324,2.00400801603206,1,0.954580599760307
"98","CuSO4","SHR3-F[1,2]_SNQ2-F[3]",0.280972,0,0.280972,1.17647058823529,0,-0.115745823735064
"99","CuSO4","TPO1-F[1,2]_DBP2-F[3]",0.444324,0.02670375,0.47102775,1.5527950310559,0,-0.0510980372434352
"100","CuSO4","TPO1-F[1,2]_FPR1-F[3]",0.850324,0.259196190476191,1.10952019047619,4.23728813559322,0,-0.0499989739431806
"101","CuSO4","TPO1-F[1,2]_ho::HphMX",0.440324,0,0.440324,1.29366106080207,0,NA
"102","CuSO4","TPO1-F[1,2]_HXT1-F[3]",0.31562,0,0.31562,1.194743130227,1,0.318790857305349
"103","CuSO4","TPO1-F[1,2]_IMD3-F[3]",0.154324,0.0185168,0.1728408,1.24069478908189,0,-0.247631490747619
"104","CuSO4","TPO1-F[1,2]_PDR5-F[3]",0.837296,0,0.837296,1.73010380622837,1,0.28941810024271
"105","CuSO4","TPO1-F[1,2]_PDR5-F[3]",0.837296,0,0.837296,1.73010380622837,1,0.28941810024271
"106","CuSO4","TPO1-F[1,2]_PRS3-F[3]",0.238324,0,0.238324,1.13895216400911,0,-0.118116315629724
"107","CuSO4","TPO1-F[1,2]_RPB9-F[3]",0.656972,0.13086875,0.78784075,2.30414746543779,0,-0.0423369799071127
"108","CuSO4","TPO1-F[1,2]_SHR3-F[3]",0.054648,0,0.054648,1.02880658436214,1,-0.116953735981196
"109","CuSO4","TPO1-F[1,2]_SHR3-F[3]",0.054648,0,0.054648,1.02880658436214,1,-0.116953735981196
"110","CuSO4","TPO1-F[1,2]_SNQ2-F[3]",0.552648,0,0.552648,1.38121546961326,1,0.00299064150891205
"111","DMSO","DBP2-F[1,2]_DBP2-F[3]",0.950648,0.18796380952381,1.13861180952381,4.13223140495868,1,0.587833425736803
"112","DMSO","DBP2-F[1,2]_DBP2-F[3]",0.950648,0.18796380952381,1.13861180952381,4.13223140495868,1,0.587833425736803
"113","DMSO","DBP2-F[1,2]_FPR1-F[3]",0.772648,0.106190588235294,0.878838588235294,2.48756218905473,0,0.0206347388662302
"114","DMSO","DBP2-F[1,2]_ho::HphMX",0.080648,0.00866666666666667,0.0893146666666667,1.17096018735363,0,NA
"115","DMSO","DBP2-F[1,2]_HXT1-F[3]",0.253122222222222,0.0598776859504132,0.312999908172635,1.41242937853107,0,-0.0304465560019821
"116","DMSO","DBP2-F[1,2]_IMD3-F[3]",0.040324,0.027551875,0.067875875,1.18343195266272,0,-0.166035748821172
"117","DMSO","DBP2-F[1,2]_PDR5-F[3]",0.21562,0.4222,0.63782,2.14132762312634,0,0.0306457352810402
"118","DMSO","DBP2-F[1,2]_PRS3-F[3]",0.231296,0.02770125,0.25899725,1.33511348464619,0,0.0116995801441555
"119","DMSO","DBP2-F[1,2]_RPB9-F[3]",0.664648,0.230518775510204,0.895166775510204,2.80112044817927,0,0.00315122883015528
"120","DMSO","DBP2-F[1,2]_SHR3-F[3]",0.170324,0,0.170324,1.21359223300971,0,0.0115145932206564
"121","DMSO","DBP2-F[1,2]_SNQ2-F[3]",0.194972,0,0.194972,1.230012300123,0,-0.101152445588104
"122","DMSO","DST1-F[1,2]_DBP2-F[3]",0.446972,0.289509375,0.736481375,2.38095238095238,0,-0.0895821647640939
"123","DMSO","DST1-F[1,2]_FPR1-F[3]",0.840972,0.373622222222222,1.21459422222222,5.78034682080925,0,-0.00940900192353979
"124","DMSO","DST1-F[1,2]_ho::HphMX",0.451296,0.432468888888889,0.883764888888889,2.89855072463768,0,NA
"125","DMSO","DST1-F[1,2]_HXT1-F[3]",0.182648,0,0.182648,1.21506682867558,0,-0.0251113467395234
"126","DMSO","DST1-F[1,2]_IMD3-F[3]",0.046972,0.0519342011834319,0.0989062011834319,1.21802679658953,0,-0.124872086361704
"127","DMSO","DST1-F[1,2]_PDR5-F[3]",0.062648,0.0228734567901235,0.0855214567901234,1.18623962040332,0,-0.0952422313898698
"128","DMSO","DST1-F[1,2]_PRS3-F[3]",0.634648,0.0206944444444444,0.655342444444444,1.77935943060498,0,0.0289060940456024
"129","DMSO","DST1-F[1,2]_RPB9-F[3]",0.87962,0.148432066115702,1.0280520661157,3.27868852459016,1,0.218688722226733
"130","DMSO","DST1-F[1,2]_SHR3-F[3]",0.138972,0.143204938271605,0.282176938271605,1.47275405007364,0,-0.0158209110866743
"131","DMSO","DST1-F[1,2]_SNQ2-F[3]",0.403296,0.127441875,0.530737875,1.76678445229682,0,-0.0627548035413696
"132","DMSO","FMP45-F[1,2]_DBP2-F[3]",0.692648,0.191802811791383,0.884450811791383,2.73224043715847,0,-0.0254546168855233
