"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","DEEPN_score","interactor"
"1723","di4spUb","Dyrk1a",0,0.155985607227987,0.155985607227987,2.01508231545406,0.08,1
"1724","di4spUb","Dyrk3",0,0.182890018470172,0.182890018470172,2.24955535354334,0,NA
"1725","di4spUb","Dyrk4",0,0.168619256147165,0.168619256147165,2.11875069798608,0.128,0
"1726","di4spUb","Dzip3",0,0.149334186502899,0.149334186502899,1.96356861933347,0.009,1
"1727","di4spUb","E130309D14Rik",0,0.192068487908331,0.192068487908331,2.34734193920897,0,NA
"1728","di4spUb","E2f2",0,0.164602427685719,0.164602427685719,2.08330893118594,0.008,0
"1729","di4spUb","E2f4",0,0.188733989560046,0.188733989560046,2.30634573304158,0,1
"1730","di4spUb","E2f5",0,0.149768334177334,0.149768334177334,1.96594245449207,0.008,0
"1731","di4spUb","E2f8",0,0.189919849888133,0.189919849888133,2.31676639394309,0.012,1
"1732","di4spUb","Eapp",0,0.153793225125042,0.153793225125042,1.99509254066181,0.097,1
"1733","di4spUb","Ear2",0,0.166262635655547,0.166262635655547,2.09596759344504,0.009,0
"1734","di4spUb","Ebna1bp2",0,0.135492679564688,0.135492679564688,1.853518741655,0.007,1
"1735","di4spUb","Ebp",0,0.175746292743325,0.175746292743325,2.17768595041322,0,1
"1736","di4spUb","Ece2",0,0.169417219534813,0.169417219534813,2.12167300380228,0.01,1
"1737","di4spUb","Ech1",0,0.139884189732236,0.139884189732236,1.89240590504056,0.009,1
"1738","di4spUb","Echdc1",0,0.134162722949386,0.134162722949386,1.84432922877511,0.006,0
"1739","di4spUb","Echdc2",0,0.169340943622758,0.169340943622758,2.11993444576877,0.007,0
"1740","di4spUb","Eci1",0,0.00928457019658232,0.00928457019658232,1.54114429611979,0.005,0
"1741","di4spUb","Eci2",0,0.129772826107454,0.129772826107454,1.8166033640803,0.007,1
"1742","di4spUb","Ecscr",0,0.130970070700708,0.130970070700708,1.82358783762135,0.103,0
"1743","di4spUb","Ecsit",0,0.183606127079438,0.183606127079438,2.24982212032572,0,NA
"1744","di4spUb","Ect2",0,0.155287447289335,0.155287447289335,2.00373173737018,0.088,1
"1745","di4spUb","Eda2r",0,0.16401570430216,0.16401570430216,2.07351816095304,0.008,0
"1746","di4spUb","Edn1",0,0.177124789903353,0.177124789903353,2.18680600914435,0,1
"1747","di4spUb","Edrf1",0,0.151147132164154,0.151147132164154,1.97036626739597,0.142,0
"1748","di4spUb","Eed",0,0.175969114710228,0.175969114710228,2.17452433712845,0,1
"1749","di4spUb","Eef1a1",0,0.288561591560655,0.288561591560655,2.84907643790359,0.52,1
"1750","di4spUb","Eef1b2",0,0.0073624708650745,0.0073624708650745,1.53074068097467,0.006,1
"1751","di4spUb","Eef1e1",0,0.138670511341146,0.138670511341146,1.87661973688549,0.008,1
"1752","di4spUb","Eef1g",0,0.133135674891447,0.133135674891447,1.83410672853828,0.005,1
"1753","di4spUb","Eef2k",0,0.0160519247489235,0.0160519247489235,1.56058238052151,0.002,1
"1754","di4spUb","Eepd1",0,0.185841281465074,0.185841281465074,2.2663958905746,0,NA
"1755","di4spUb","Efcab12",0,0.159869429171246,0.159869429171246,2.03533114003719,0.011,0
"1756","di4spUb","Efcab14",0,0.140605348961624,0.140605348961624,1.89253175500432,0.007,0
"1757","di4spUb","Efcab2",0,0.15573326495193,0.15573326495193,2.00260370852539,0.008,0
"1758","di4spUb","Efcab3",0,0.131181349158341,0.131181349158341,1.82055464926591,0.008,0
"1759","di4spUb","Efcab5",0,0.00605207696271747,0.00605207696271747,1.52373303349129,0.008,0
"1760","di4spUb","Efcab6",0,0.185477507497511,0.185477507497511,2.26117357276231,0,NA
"1761","di4spUb","Efcab7",0,0.158220905608862,0.158220905608862,2.02094947271242,0.011,0
"1762","di4spUb","Efhb",0,0.154497233760776,0.154497233760776,1.99174132138858,0.009,0
"1763","di4spUb","Efhc2",0,0.180457074619807,0.180457074619807,2.21179030816461,0,1
"1764","di4spUb","Efhd1",0,0.136120036933349,0.136120036933349,1.84972375690608,0.064,0
"1765","di4spUb","Efna1",0,0.156384595361782,0.156384595361782,2.00556749709292,0.009,0
"1766","di4spUb","Efr3b",0,0.144378446920934,0.144378446920934,1.91629911450793,0.008,0
"1767","di4spUb","Eftud1",0,0.165441308881562,0.165441308881562,2.07775709122769,0.102,1
"1768","di4spUb","Eftud2",0,0.186809389604555,0.186809389604555,2.27146106876322,0,1
"1769","di4spUb","Egfl6",0,0.16039168139623,0.16039168139623,2.03576793762072,0.006,1
"1770","di4spUb","Egfr",0,0.181278431763651,0.181278431763651,2.21687310119187,0,1
"1771","di4spUb","Egln3",0,0.160262649408355,0.160262649408355,2.0339491834328,0.007,1
"1772","di4spUb","Egr1",0,0.142694583931517,0.142694583931517,1.90322688513626,0.081,0
"1773","di4spUb","Egr3",0,0.154051365505,0.154051365505,1.98521102197419,0.041,0
"1774","di4spUb","Ehbp1",0,0.158379298446223,0.158379298446223,2.01836944572503,0.009,0
"1775","di4spUb","Ehd2",0,0.168894994557412,0.168894994557412,2.10418130060261,0.009,0
"1776","di4spUb","Ehd4",0,0.131756496070787,0.131756496070787,1.81985611510791,0.008,1
"1777","di4spUb","Ehf",0,0.140148023029329,0.140148023029329,1.88413665254237,0.025,0
"1778","di4spUb","Eid2",0,0.170432275902923,0.170432275902923,2.11575777852124,0.007,0
"1779","di4spUb","Eid3",0,0.146402606819246,0.146402606819246,1.92720008126503,0.027,0
"1780","di4spUb","Eif1ax",0,0.00944327564597287,0.00944327564597287,1.53437213565536,0.006,1
"1781","di4spUb","Eif1b",0,0.15222668556762,0.15222668556762,1.96866244681955,0.083,0
"1782","di4spUb","Eif2a",0,0.135258153445563,0.135258153445563,1.83967935871743,0.007,0
"1783","di4spUb","Eif2ak1",0,0.155228778386928,0.155228778386928,1.9911838790932,0.086,0
"1784","di4spUb","Eif2ak3",0,0.182373989447371,0.182373989447371,2.22189256714553,0,NA
"1785","di4spUb","Eif2ak4",0,0.1525904344327,0.1525904344327,1.970502700457,0.07,0
"1786","di4spUb","Eif2b1",0,0.146291125686335,0.146291125686335,1.92452830188679,0.008,1
"1787","di4spUb","Eif2b2",0,0.188733989560046,0.188733989560046,2.28349047141424,0,1
"1788","di4spUb","Eif2b3",0,0.132589872209228,0.132589872209228,1.82212831348444,0.046,0
"1789","di4spUb","Eif2b4",0,0.168894994557412,0.168894994557412,2.09975651147347,0.01,0
"1790","di4spUb","Eif2b5",0,0.159282812742442,0.159282812742442,2.02087771623349,0.084,1
"1791","di4spUb","Eif2s1",0,0.130183645330629,0.130183645330629,1.80702924088008,0.017,0
"1792","di4spUb","Eif2s3y",0,0.135727205683814,0.135727205683814,1.84051222351572,0.059,0
"1793","di4spUb","Eif3a",0.997877946593002,0.33324551579003,1.33112346238303,6.94945054945055,0.447,1
"1794","di4spUb","Eif3c",0,0.192068487908331,0.192068487908331,2.32092321494108,0,1
"1795","di4spUb","Eif3e",0,0.00423550108662091,0.00423550108662091,1.51046946737082,0.006,1
"1796","di4spUb","Eif3g",0,0.168333692163439,0.168333692163439,2.09350057012543,0.01,1
