"prey","bait","Enrichment_score","Specificity_score","Sum_scores","Borda_scores"
"Rab38","di4spUb",0,0.168484306456607,0.168484306456607,1.49582128777924
"Rab38","Rab5GDP",0,0.330114350292764,0.330114350292764,1.98874873335896
"Rab38","Rab5GTP",0,0.333533195346032,0.333533195346032,2.0025332488917
"Rab39b","EMPTY",0,0.543799804890162,0.543799804890162,2.50455445544554
"Rab39b","Rab5GDP",0,0.247065139059554,0.247065139059554,1.71847826086957
"Rab39b","Rab5GTP",0,0.0739811865745429,0.0739811865745429,1.2855110107284
"Rab3b","di4spUb",0,0.188733989560046,0.188733989560046,1.58748221906117
"Rab3b","Rab5GDP",0,0.425327980934521,0.425327980934521,2.32481006453721
"Rab3b","Rab5GTP",0,0.375998049837873,0.375998049837873,2.1966808182169
"Rab3c","EMPTY",0,0.0152126827149253,0.0152126827149253,1.19561381396521
"Rab3c","Rab5GDP",0,0.303831433954206,0.303831433954206,1.88257863923527
"Rab3c","Rab5GTP",0,0.0877677314957188,0.0877677314957188,1.30403702515694
"Rab3d","di4spUb",0,0.165277035591719,0.165277035591719,1.48164731608268
"Rab3d","Rab5GDP",0,0.30415843727785,0.30415843727785,1.88432378745241
"Rab3d","Rab5GTP",0,0.325031729533233,0.325031729533233,1.96764156813939
"Rab3gap1","di4spUb",0,0.178250973807057,0.178250973807057,1.53839500500041
"Rab3gap1","Rab5GDP",0,0.378893687539743,0.378893687539743,2.21110290975487
"Rab3gap1","Rab5GTP",0,0.35482769602223,0.35482769602223,2.091500385845
"Rab3gap2","EMPTY",0,0.138551510860798,0.138551510860798,1.37415195924576
"Rab3gap2","Rab5GDP",0,0.175240594233474,0.175240594233474,1.52430434666167
"Rab3gap2","Rab5GTP",0,0.0603033417368425,0.0603033417368425,1.26612239450092
"Rab3il1","EMPTY",0,0.574410400260404,0.574410400260404,2.56783216783217
"Rab3il1","Rab5GDP",0,0.288499026985342,0.288499026985342,1.83233532934132
"Rab3il1","Rab5GTP",0,0.0826523566505061,0.0826523566505061,1.29687606808394
"Rab3ip","di4spUb",0,0.139503076201734,0.139503076201734,1.37887927901737
"Rab3ip","Rab5GDP",0,0.477309465582696,0.477309465582696,2.44537056928034
"Rab3ip","Rab5GTP",0,0.254754879919127,0.254754879919127,1.73656750572082
"Rab43","di4spUb",0,0.169117983264445,0.169117983264445,1.49747421595454
"Rab43","Rab5GDP",0,0.340586536812025,0.340586536812025,2.02677871946443
"Rab43","Rab5GTP",0,0.334708213330815,0.334708213330815,2.00479041916168
"Rab4a","di4spUb",0,0.169188391798649,0.169188391798649,1.49763182822861
"Rab4a","Rab5GDP",0,0.44025945105059,0.44025945105059,2.34492419248517
"Rab4a","Rab5GTP",0.137303319639231,0.335165644875407,0.472468964514638,5.89986524308075
"Rab5a","EMPTY",0,0.634445746405824,0.634445746405824,2.71753246753247
"Rab5a","Rab5GDP",0,0.453329491523639,0.453329491523639,2.3741709423101
"Rab5a","Rab5GTP",0,0.194669443812873,0.194669443812873,1.61463829787234
"Rab6a","EMPTY",0,0.636734283177186,0.636734283177186,2.7236445422788
"Rab6a","Rab5GDP",0,0.465895886785594,0.465895886785594,2.39858401112563
"Rab6a","Rab5GTP",0,0.197038170813807,0.197038170813807,1.62329587587702
"Rab6b","di4spUb",0,0.132930265279859,0.132930265279859,1.35060867089058
"Rab6b","Rab5GDP",0,0.0518671652949924,0.0518671652949924,1.253766851705
"Rab6b","Rab5GTP",0,0.234350716019976,0.234350716019976,1.68674984441217
"Rab7","EMPTY",0.679675199508901,0.647495083041921,1.32717028255082,59.0414937759336
"Rab7","Rab5GDP",0,0.0601195290735042,0.0601195290735042,1.26522174058019
"Rab7","Rab5GTP",0,0.0304839684282797,0.0304839684282797,1.22121615242673
"Rab8a","di4spUb",0,0.145569462370289,0.145569462370289,1.40166477860415
"Rab8a","Rab5GDP",0,0.142474907769097,0.142474907769097,1.39029752308369
"Rab8a","Rab5GTP",0,0.272568518114877,0.272568518114877,1.78274760383387
"Rab8b","di4spUb",0,0.173864876212057,0.173864876212057,1.51731492095652
"Rab8b","Rab5GDP",0,0.357338996326477,0.357338996326477,2.10161731039067
"Rab8b","Rab5GTP",0,0.347307522087961,0.347307522087961,2.05339490583736
"Rab9","di4spUb",0,0.00522636065540085,0.00522636065540085,1.17333223385833
"Rab9","Rab5GDP",0,0.470316494039901,0.470316494039901,2.420721333787
"Rab9","Rab5GTP",0,0.145840129334201,0.145840129334201,1.40239004558334
"Rabep1","EMPTY",0.851548164246032,0.326148172429067,1.1776963366751,6.41885643396865
"Rabep1","Rab5GDP",0,0.0586989402714475,0.0586989402714475,1.2627235213205
"Rabep1","Rab5GTP",0.965499442922514,0.664089399472869,1.62958884239538,547.269230769231
"Rabepk","di4spUb",0,0.151023935959629,0.151023935959629,1.42229552440213
"Rabepk","Rab5GDP",0,0.369040065361268,0.369040065361268,2.1568894952251
"Rabepk","Rab5GTP",0,0.287185905550831,0.287185905550831,1.82639668838045
"Rabgap1l","di4spUb",0,0.302825396656044,0.302825396656044,1.8763104107602
"Rabgap1l","diUb1",0.682379036218539,0.497435500309735,1.17981453652827,17.9545741324921
"Rabgap1l","EMPTY",0.927791258168684,0.663110317732344,1.59090157590103,302.744680851064
"Rabgef1","di4spUb",0,0.183606127079438,0.183606127079438,1.56105320899616
"Rabgef1","Rab5GDP",0,0.409160806532042,0.409160806532042,2.29158110882957
"Rabgef1","Rab5GTP",0,0.365678017920061,0.365678017920061,2.1408259986459
"Rabggta","di4spUb",0,0.188733989560046,0.188733989560046,1.5850506850841
"Rabggta","Rab5GDP",0,0.425327980934521,0.425327980934521,2.31959897297958
"Rabggta","Rab5GTP",0,0.375998049837873,0.375998049837873,2.19202772963605
"Rabggtb","di4spUb",0,0.12906856458201,0.12906856458201,1.33702929361742
"Rabggtb","Rab5GDP",0,0.461421823462721,0.461421823462721,2.38641509433962
"Rabggtb","Rab5GTP",0,0.221966341913655,0.221966341913655,1.65940697979533
"Rabif","EMPTY",0,0.554928329200162,0.554928329200162,2.51729323308271
"Rabif","Rab5GDP",0,0.139178864090606,0.139178864090606,1.37574629571439
"Rabif","Rab5GTP",0,0.0517284599555824,0.0517284599555824,1.25277337559429
"Rabl2","di4spUb",0,0.17456292408393,0.17456292408393,1.51946179721288
"Rabl2","Rab5GDP",0,0.146090004621846,0.146090004621846,1.40273567467652
"Rabl2","Rab5GTP",0,0.347466651031979,0.347466651031979,2.05272838749234
"Rabl3","di4spUb",0,0.00882020980762477,0.00882020980762477,1.18188425358723
"Rabl3","Rab5GDP",0,0.270267868868628,0.270267868868628,1.77463207782489
"Rabl3","Rab5GTP",0,0.205469019962305,0.205469019962305,1.63617547289139
"Rac1","EMPTY",0.751962998772253,0.656263094260061,1.40822609303231,88.5163297045101
"Rac1","Rab5GDP",0,0.454132846379805,0.454132846379805,2.3715
"Rac1","Rab5GTP",0,0.194939326334108,0.194939326334108,1.61385998241983
"Rac2","di4spUb",0,0.162390519213051,0.162390519213051,1.46713409290096
"Rac2","Rab5GDP",0,0.273218561574955,0.273218561574955,1.78258009959598
"Rac2","Rab5GTP",0,0.317645398777704,0.317645398777704,1.92700433369447
"Racgap1","di4spUb",0,0.152572887797648,0.152572887797648,1.42728891340873
"Racgap1","Rab5GDP",0,0.219740233264506,0.219740233264506,1.65395792165524
"Racgap1","Rab5GTP",0,0.291770432867397,0.291770432867397,1.83991724316286
"Rad1","di4spUb",0,0.00923754635972586,0.00923754635972586,1.18264555541703
"Rad1","Rab5GDP",0,0.30608923624249,0.30608923624249,1.88582220602366
"Rad1","Rab5GTP",0,0.211383706683447,0.211383706683447,1.64359351988218
"Rad18","di4spUb",0,0.159728722799022,0.159728722799022,1.45576386935059
"Rad18","Rab5GDP",0,0.256740449613362,0.256740449613362,1.73837085000458
"Rad18","Rab5GTP",0,0.310943230727468,0.310943230727468,1.90195488721805
"Rad21","EMPTY",0,0.6194250212712,0.6194250212712,2.67060810810811
"Rad21","Rab5GDP",0,0.451294325888017,0.451294325888017,2.36479973408675
"Rad21","Rab5GTP",0,0.203262371162855,0.203262371162855,1.63209359676541
"Rad23a","di4spUb",0,0.171940192010464,0.171940192010464,1.5070698511889
"Rad23a","Rab5GDP",0,0.352386311348683,0.352386311348683,2.07223476297968
"Rad23a","Rab5GTP",0.177076368658965,0.342362683911036,0.519439052570002,6.18719426024568
"Rad23b","EMPTY",0,0.555564841754985,0.555564841754985,2.51729323308271
"Rad23b","Rab5GDP",0,0.264642408465321,0.264642408465321,1.75791456898416
"Rad23b","Rab5GTP",0,0.077782633407346,0.077782633407346,1.28789627316543
