"","bait","prey","interactor"
"320","MRFAP1L1","OR10AG1",0
"321","MRFAP1L1","RBBP4",0
"322","MRFAP1L1","S100A1",0
"323","MRFAP1L1","S100P",1
"324","MRFAP1L1","TEX11",1
"325","MTA1","FHL3",1
"326","MTA1","IKZF1",1
"327","MTA1","RBBP4",1
"328","MTA1","RBPMS",0
"329","MTA1","TEX11",1
"330","MTA1","UBE2I",1
"331","NMI","BRMS1",1
"332","NMI","CDKN2D",1
"333","NMI","CNOT7",1
"334","NMI","EXOSC5",1
"335","NMI","LSM3",0
"336","NMI","MORF4L1",1
"337","NMI","NMI",1
"338","NMI","RYBP",1
"339","NMI","SH3GLB2",1
"340","NMI","UBE2I",1
"341","OR10AG1","MRFAP1L1",0
"342","p53","lam",0
"343","p53","largeT",1
"344","p53","p53",1
"345","p53","RBPMS",0
"346","p53","S100B",0
"347","p53","UBE2I",1
"348","PCNA","CCND3",1
"349","PCNA","CDK4",1
"350","PCNA","CDKN1A",1
"351","PCNA","DMRTB1",0
"352","PCNA","MME",1
"353","PCNA","PCNA",1
"354","PCNA","RBBP8",1
"355","PCNA","S100P",0
"356","PCNA","UBE2I",0
"357","PIAS1","BRMS1",0
"358","PIAS1","CDK4",1
"359","PIAS1","CDKN2D",1
"360","PIAS1","CNOT7",1
"361","PIAS1","FHL3",1
"362","PIAS1","GAA",0
"363","PIAS1","IKZF5",1
"364","PIAS1","KLF3",1
"365","PIAS1","LSM3",1
"366","PIAS1","PIAS1",1
"367","PIAS1","PSMC1",0
"368","PIAS1","QKI",1
"369","PIAS1","RBPMS",1
"370","PIAS1","RYBP",0
"371","PIAS1","TEX11",1
"372","PIAS1","TSG101",1
"373","PIAS1","UBE2I",1
"374","PPID","S100A1",1
"375","PPID","SNX32",0
"376","PSMC1","ADRM1",1
"377","PSMC1","CCND2",1
"378","PSMC1","CCND3",1
"379","PSMC1","CNOT7",1
"380","PSMC1","CTBP1",0
"381","PSMC1","MORF4L1",1
"382","PSMC1","PIAS1",0
"383","PSMC1","PSMC1",1
"384","PSMC1","PSMC2",1
"385","PSMC1","PSMD2",1
"386","PSMC1","PSMD5",1
"387","PSMC1","RBFOX2",0
"388","PSMC1","RBPMS",0
"389","PSMC1","STMN2",1
"390","PSMC1","UCHL5",1
"391","PSMC2","ADRM1",1
"392","PSMC2","CCND2",1
"393","PSMC2","CDKN1A",1
"394","PSMC2","CEP55",1
"395","PSMC2","CNOT7",1
"396","PSMC2","PSMC1",1
"397","PSMC2","PSMC2",1
"398","PSMC2","PSMD2",1
"399","PSMC2","PSMD5",1
"400","PSMC2","UCHL5",1
"401","PSMD2","ADRM1",1
"402","PSMD2","BIK",0
"403","PSMD2","CDKN1A",1
"404","PSMD2","PSMC1",1
"405","PSMD2","PSMC2",1
"406","PSMD2","PSMD2",1
"407","PSMD2","PSMD5",1
"408","PSMD2","UCHL5",1
"409","PSMD5","ADRM1",1
"410","PSMD5","CCND2",1
"411","PSMD5","PSMC1",1
"412","PSMD5","PSMC2",1
"413","PSMD5","PSMD2",1
"414","PSMD5","PSMD5",0
"415","QKI","BNIP3L",0
"416","QKI","CCND3",1
"417","QKI","CDKN2D",1
"418","QKI","DMRTB1",1
"419","QKI","FHL3",1
"420","QKI","LSM3",1
"421","QKI","PIAS1",1
"422","QKI","QKI",1
"423","QKI","RBFOX2",1
"424","QKI","RBPMS",1
"425","QKI","STX4",0
"426","QKI","TEX11",1
"427","QKI","TSG101",1
"428","RBBP4","AP2B1",0
"429","RBBP4","BRMS1",1
"430","RBBP4","CDKN1A",1
"431","RBBP4","CDKN2D",0
"432","RBBP4","IKZF1",1
"433","RBBP4","MRFAP1L1",0
"434","RBBP4","MTA1",1
"435","RBBP4","RBBP4",1
"436","RBBP4","RYBP",1
"437","RBBP8","CDK6",0
"438","RBBP8","CTBP1",1
"439","RBBP8","IKZF1",1
"440","RBBP8","PCNA",1
"441","RBBP8","RBBP8",1
"442","RBBP8","TOPBP1",1
"443","RBBP8","UBE2I",0
"444","RBFOX2","BNIP3L",0
"445","RBFOX2","DMRTB1",1
"446","RBFOX2","PSMC1",0
"447","RBFOX2","QKI",1
"448","RBFOX2","RBFOX2",1
"449","RBFOX2","RBPMS",1
"450","RBPMS","BNIP3L",0
"451","RBPMS","CDK6",1
"452","RBPMS","DMRTB1",1
"453","RBPMS","EXOSC1",1
"454","RBPMS","GAA",0
"455","RBPMS","IGF2",1
"456","RBPMS","KLF3",0
"457","RBPMS","MTA1",0
"458","RBPMS","p53",0
"459","RBPMS","PIAS1",1
"460","RBPMS","PSMC1",0
"461","RBPMS","QKI",1
"462","RBPMS","RBFOX2",1
"463","RBPMS","RBPMS",1
"464","RBPMS","STX4",0
"465","RBPMS","TOPBP1",0
"466","RBPMS","TSG101",1
"467","REEP2","BNIP3",1
"468","REEP2","DMRTB1",0
"469","REEP2","IKZF1",0
"470","RING1","RING1",1
"471","RING1","RYBP",1
"472","RYBP","FHL3",1
"473","RYBP","NMI",1
"474","RYBP","PIAS1",0
"475","RYBP","RBBP4",1
"476","RYBP","RING1",1
"477","RYBP","SUPT5H",1
"478","S100A1","BIK",1
"479","S100A1","MRFAP1L1",0
"480","S100A1","PPID",1
"481","S100A1","S100A1",1
"482","S100A1","S100B",1
"483","S100A1","S100P",1
"484","S100A1","SH3GLB2",0
"485","S100A1","STX4",0
"486","S100B","BCL2L2",1
"487","S100B","CTBP1",0
"488","S100B","MME",0
"489","S100B","p53",0
"490","S100B","S100A1",1
"491","S100B","S100B",1
"492","S100B","S100P",1
"493","S100P","MRFAP1L1",1
"494","S100P","PCNA",0
"495","S100P","S100A1",1
"496","S100P","S100B",1
"497","S100P","S100P",1
"498","SARNP","DAPK1",1
"499","SARNP","DDX39A",1
"500","SARNP","SH3GLB1",1
"501","SARNP","UBE2I",1
"502","SH3GLB1","BNIP3L",0
"503","SH3GLB1","CDKN2D",1
"504","SH3GLB1","EXOSC1",1
"505","SH3GLB1","EXOSC5",1
"506","SH3GLB1","MORF4L1",0
"507","SH3GLB1","SARNP",1
