"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","interactor","Interaction_score"
"53","ADRM1","RYBP",0.0754313289141414,0,0.0754313289141414,1.32748404740201,NA,0
"54","ADRM1","S100A1",0.0038946654040404,0,0.0038946654040404,1.28771968608378,NA,0
"55","ADRM1","S100B",0.658713925788497,0.237143734466591,0.895857660255089,4.34701492537313,NA,0
"56","ADRM1","S100P",0.00965397727272727,0,0.00965397727272727,1.28445424476295,NA,0
"57","ADRM1","SARNP",0.437778831168831,0.310395305518912,0.748174136687743,4.02140144977563,NA,0
"58","ADRM1","SH3GLB1",0,0.123740591539399,0.123740591539399,1.42752113711555,NA,0
"59","ADRM1","SH3GLB2",0.456805318813131,0.110206998519953,0.567012317333084,2.37319209614993,NA,0
"60","ADRM1","SNX32",0.595682132177033,0.232043525466036,0.827725657643069,3.95989123045547,NA,0
"61","ADRM1","STMN2",0.146846638257576,0,0.146846638257576,1.34386895835737,NA,0
"62","ADRM1","STX4",0,0.116087831216808,0.116087831216808,1.38872332816784,NA,0
"63","ADRM1","SUPT4H1",0.00213587436868687,0,0.00213587436868687,1.26534158792223,NA,0
"64","ADRM1","SUPT5H",0.230315119949495,0,0.230315119949495,1.38361045130641,NA,0
"65","ADRM1","TOPBP1",0.0803848642676768,0,0.0803848642676768,1.30022321428571,NA,0
"66","ADRM1","TSG101",0,0.139131871879516,0.139131871879516,1.41212121212121,NA,0
"67","ADRM1","UCHL5",0.849793402777778,0.498344063556189,1.34813746633397,14.746835443038,1,6.460952
"68","ADRM1","VAMP2",0.0111957859848485,0,0.0111957859848485,1.25592927986201,NA,0
"69","ADRM1","VAMP3",0,0.257392303144474,0.257392303144474,1.65131112686038,NA,0
"70","AP2B1","ADRM1",0.860598996289425,0.297508719308036,1.15810771559746,7.86630654962863,NA,0
"71","AP2B1","AP2B1",0,0.571591848544974,0.571591848544974,3.15205627705628,NA,0
"72","AP2B1","ARL2",0.859738756957328,0.162923602243185,1.02266235920051,4.21033610408385,NA,0
"73","AP2B1","BCL2L2",0.847662510521885,0.0646325782627866,0.912295088784672,2.758702344305,NA,0
"74","AP2B1","BIK",0.846788304924242,0,0.846788304924242,2.19645550527903,NA,0
"75","AP2B1","BNIP3",0.863123948051948,0.0726449743276666,0.935768922379615,2.88366336633663,NA,0
"76","AP2B1","BNIP3L",0.98137398989899,0.440177253100028,1.42155124299902,26.0044642857143,NA,0
"77","AP2B1","BRMS1",0.381661556586271,0.158169063938893,0.539830620525164,2.58200354609929,NA,0
"78","AP2B1","BTG1",0.865372775510204,0.0735315962680827,0.938904371778287,2.89656887120835,NA,0
